Actions,Acties
"Add list","Lijst toevoegen"
"Are you sure you want to remove this list? Removing this list will also remove all associated functionalities.","Weet u zeker dat u deze lijst wilt verwijderen? Het verwijderen van deze lijst zal ook alle bijbehorende functionaliteiten verwijderen."
"Assign Categories","Categorieën toewijzen"
"Assign Products","Producten toewijzen"
Back,Terug
"Back to Product Lists","Terug naar productlijsten"
Blacklist,"Zwarte lijst"
"Business Unit Owner Name","Naam eigenaar bedrijfseenheid"
Cancel,Annuleren
"Confirm action","Bevestig actie"
"Create a Product List","Maak een productlijst"
"Edit List","Bewerk lijst"
"Edit Product List","Bewerk productlijst"
Export,Exporteer
ID,ID
"ID Merchant Relation","ID handelsrelatie"
"Import Product List","Importeer productlijst"
"List of Product lists","Lijst van productlijsten"
"Merchant Name",Handelsnaam
"Merchant relationship",Handelsrelatie
Name,Naam
"Overview of Product lists","Overzicht van productlijsten"
"Owner Type",Eigenaarstype
"Please ensure you saved information","Zorg ervoor dat u de informatie heeft opgeslagen"
"Product label #%d successfully created.","Productlabel #%d succesvol aangemaakt."
"Product List ""%s"" has been successfully created.","Productlijst ""%s"" is succesvol aangemaakt."
"Product List ""%s"" has been successfully updated.","Productlijst ""%s"" is succesvol bijgewerkt."
"Product List has been successfully removed.","Productlijst is succesvol verwijderd."
"Product List removal confirmation","Productlijst is succesvol verwijderd."
"Product Lists",Productlijsten
"Products in this list","Producten in deze lijst"
"Remove List","Lijst verwijderen"
Save,Opslaan
"Select Products to assign","Selecteer producten om toe te wijzen"
Selected,Geselecteerd
SKU,SKU
Title,Titel
Type,Type
"Used By","Gebruikt door"
Whitelist,Whitelist
Сonfirm,Сonfirm
"Add List","Add List"
