"Add Customer Group","Aggiungi Gruppo Clienti"
"Assigned customers","Clienti Assegnati"
"Available customers","Clienti Disponibili"
"Back to Customer Groups","Torna ai Gruppi Clienti"
"Customer Groups","Gruppi Clienti"
"Customer group was created successfully.","Il gruppo cliente è stato creato con successo."
"Customer group was updated successfully.","Il gruppo cliente è stato aggiornato con successo."
"De-select all","Deseleziona tutto"
"Delete Customer Group","Elimina Gruppo Clienti"
Description,Descrizione
"Edit Customer Group","Modifica Gruppo Clienti"
"List Customer Groups","Elenco dei gruppi clienti"
Save,Salva
"Select all","Seleziona tutto"
"Selected customers to assign","Clienti selezionati da assegnare"
"Selected customers to de-assign","Clienti selezionati da de-assegnare"
"View Customer Group","Visualizza Gruppo Clienti"
"Customer groups","Gruppi Clienti"
"Add a customer group","Aggiungi un gruppo cliente"
Select,Seleziona
