"Add Customer Group","Klantengroep toevoegen"
"Assigned customers","Toegewezen klanten"
"Available customers","Beschikbare klanten"
"Back to Customer Groups","Terug naar klantengroepen"
"Customer Groups",Klantengroepen
"Customer group was created successfully.","Klantengroep is succesvol aangemaakt."
"Customer group was updated successfully.","Klantengroep is succesvol bijgewerkt."
"De-select all","Deselecteer alles"
"Delete Customer Group","Klantengroep verwijderen"
Description,Beschrijving
"Edit Customer Group","Klantengroep bewerken"
"List Customer Groups","Lijst met klantengroepen"
Save,Opslaan
"Select all","Selecteer alles"
"Selected customers to assign","Geselecteerde klanten toewijzen"
"Selected customers to de-assign","Geselecteerde klanten de-toewijzen"
"View Customer Group","Klantengroep bekijken"
"Customer groups",Klantengroepen
"Add a customer group","Voeg een klantengroep toe"
Select,Selecteer
