"Add Customer Group",添加客户组
"Assigned customers",已分配的客户
"Available customers",可用客户
"Back to Customer Groups",返回客户组
"Customer Groups",客户组
"Customer group was created successfully.",客户组创建成功。
"Customer group was updated successfully.",客户组更新成功。
"De-select all",取消全部选择
"Delete Customer Group",删除客户组
Description,描述
"Edit Customer Group",编辑客户组
"List Customer Groups",客户组列表
Save,保存
"Select all",全选
"Selected customers to assign",选择要分配的客户
"Selected customers to de-assign",选择要取消分配的客户
"View Customer Group",查看客户组
"Customer groups",客户组
"Add a customer group",添加一个客户组
Select,选择
