Activate,Activeren
Active,Actief
"Add General Information","Algemene informatie toevoegen"
"Add image","Afbeelding toevoegen"
"Add image set","Afbeeldingsset toevoegen"
"Add Product Concrete","Concreet product toevoegen"
"Add Variant","Variant toevoegen"
"Assigned products","Toegewezen producten"
Attributes,Kenmerken
"Available in stores","Beschikbaar in winkels"
"Below are the product variants listed. Each variant may be edited independent from the others.","Hieronder staan de productvarianten vermeld. Elke variant kan onafhankelijk van de andere worden bewerkt."
"Below the name and description for your product can be edited for different locales (in different languages).","Hieronder kunnen de naam en beschrijving van uw product worden bewerkt voor verschillende locaties (in verschillende talen)."
"Below you can choose between your predefined tax sets and edit the price of your product.","Hieronder kunt u kiezen tussen uw vooraf gedefinieerde belastingtarieven en de prijs van uw product bewerken."
"Bundle availability based on assigned products:","Beschikbaarheid van bundels op basis van toegewezen producten:"
Categories,Categorieën
"CMS Block list","CMS Bloklijst"
"Configurable Product Attributes","Configureerbare productattributen"
"Contains bundles","Bevat bundels"
"Create a Product","Maak een product aan"
"Create Bundle Product","Maak een bundelproduct aan"
"Create Product","Maak product"
Deactivate,Deactiveren
Deactivated,Gedeactiveerd
Default,Standaard
"Delete image","Verwijder afbeelding"
"Delete image set","Verwijder afbeeldingsset"
Edit,Bewerken
"Edit Product Abstract","Bewerk product abstract"
"Edit Product Concrete","Bewerk product concreet"
"Enter price.","Voer prijs in."
"Enter stock value. In case you create multiple variants, the stock can be managed under ""Product Variants"" and this input field will be ignored.","Voer voorraadwaarde in. In het geval dat u meerdere varianten maakt, kan de voorraad worden beheerd onder ""Productvarianten"" en wordt dit invoerveld genegeerd."
General,Algemeen
"Gross price",Brutoprijs
"Image Set",Afbeeldingsset
"Image Sets",Afbeeldingssets
Large,Groot
"List Products","Lijst met producten"
"Manage Attributes","Beheer attributen"
"Merchant Price Dimension","Prijsdimensie verkoper"
"Multiple images can be grouped to an image set. An image set has a name for identification and may contain a small and a large version of each image","Meerdere afbeeldingen kunnen worden gegroepeerd in een afbeeldingsset. Een afbeeldingsset heeft een naam ter identificatie en kan een kleine en een grote versie van elke afbeelding bevatten"
n/a,n/a
"Net price",Nettoprijs
"Never out of stock","Nooit uit voorraad"
"No categories found.","Geen categorieën gevonden."
"No records","Geen records"
"Note: Deactivated product variants are not available in the shop anymore.","Opmerking: Gedeactiveerde productvarianten zijn niet meer beschikbaar in de winkel."
"Note: Image sets can be used for different purposes such as being displayed in the catalog or the product detail page or elsewhere.","Opmerking: Afbeeldingssets kunnen worden gebruikt voor verschillende doeleinden, zoals weergave in de catalogus of de productdetailpagina of elders."
"Note: Meta data are snippets of text describing a page’s content. The meta data appear only in the page’s code, not in its content.","Opmerking: Metagegevens zijn stukjes tekst die de inhoud van een pagina beschrijven. De metagegevens worden alleen weergegeven in de code van de pagina, niet in de inhoud ervan."
"Note: The price that you edit here is only displayed in the shop catalog and the product detail page for the non configured product (Not product variant)","Opmerking: De prijs die u hier bewerkt, wordt alleen weergegeven in de winkelcatalogus en de productdetailpagina voor het niet-geconfigureerde product (niet productvariant)"
"Note: The SKU is not editable after saving anymore.","Opmerking: De SKU kan niet meer worden bewerkt na het opslaan."
