"Add note","Ajouter une note"
"Days left:","Jours restants :"
Discontinue,Interrompre
Discontinued,Interrompu
Restore,Restaurer
"Will be deactivated on:","Sera désactivé le :"
"Discontinue Product","Interrompre le produit"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","Vous pouvez interrompre un produit sur cet onglet et ajouter une note - pourquoi ce produit est interrompu."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Note : Les produits interrompus seront toujours visibles dans la boutique et auront du stock, mais il ne sera pas possible de les acheter."
"Product has been marked as discontinued.","Le produit a été marqué comme interrompu."
"Product has been unmarked as discontinued.","Le produit a été démarqué comme interrompu."
