"Add note","Aggiungi Nota"
"Days left:","Giorni rimasti:"
Discontinue,Interrompi
Discontinued,Interrotto
Restore,Ripristina
"Will be deactivated on:","Sarà disattivato il:"
"Discontinue Product","Interrompi Prodotto"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","Puoi interrompere un prodotto in questa scheda e aggiungere una nota - perché questo prodotto è stato interrotto."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Nota: I prodotti interrotti saranno comunque visibili nel negozio e avranno disponibilità, ma non sarà possibile acquistarli."
"Product has been marked as discontinued.","Il prodotto è stato contrassegnato come interrotto."
"Product has been unmarked as discontinued.","Il prodotto è stato contrassegnato come non interrotto."
