"Add note",添加备注
"Days left:",剩余天数：
Discontinue,停产
Discontinued,已停产
Restore,恢复
"Will be deactivated on:",将在以下日期停用：
"Discontinue Product",停产产品
"You can discontinue a product on this tab and add a note - why this product is discontinued.","您可以在此选项卡上停用产品并添加备注 - 说明为何停用该产品。"
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.",注意：停产产品仍将在商店中可见并有库存，但无法购买。
"Product has been marked as discontinued.",产品已标记为停产。
"Product has been unmarked as discontinued.",产品已取消标记为停产。
