"Add note","Añadir nota"
"Days left:","Días restantes:"
Discontinue,Descontinuar
Discontinued,Descontinuado
Restore,Restaurar
"Will be deactivated on:","Será desactivado el:"
"Discontinue Product","Descontinuar producto"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","Puedes descontinuar un producto en esta pestaña y añadir una nota - por qué este producto está descontinuado."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Nota: Los productos descontinuados seguirán siendo visibles en la tienda y tendrán stock, pero no será posible comprarlos."
"Product has been marked as discontinued.","El producto ha sido marcado como descontinuado."
"Product has been unmarked as discontinued.","El producto ha dejado de estar marcado como descontinuado."
