"Add Content Item","Voeg inhoudselement toe"
"Back to Content Items","Terug naar inhoudselementen"
Cancel,Annuleren
"Content Item",Inhoudselement
"Content Item ID",Inhoudselement-ID
"Content Item Key",Inhoudselementsleutel
"Content Items",Inhoudselementen
"Content Type",Inhoudstype
"Create Content Item","Maak inhoudselement aan"
Default,Standaard
"Edit Content Item","Bewerk inhoudselement"
"Edit Widget","Bewerk widget"
Insert,Invoegen
"Insert a Content Item","Voeg een inhoudselement in"
"Invalid data provided","Ongeldige gegevens verstrekt"
"List of Content Items","Lijst met inhoudselementen"
Name,Naam
"Overview of Content Items","Overzicht van inhoudselementen"
"Overwrite default by specifying a different list per specific locale","Overschrijf standaard door verschillende inhoudselementen per specifieke taalgebied op te geven"
"Overwrite default by specifying different content elements per specific locale","Overschrijf standaard door verschillende inhoudselementen per specifieke taalgebied op te geven"
"Please select a content item","Selecteer een inhoudselement"
"Please select a template","Selecteer een sjabloon"
Save,Opslaan
"Select a content item","Selecteer een inhoudselement"
"Select a template","Selecteer een sjabloon"
Updated,Bijgewerkt
"Content item has been successfully created.","Inhoudselement is succesvol aangemaakt."
"Content item has been successfully updated.","Inhoudselement is succesvol bijgewerkt."
"Stock successfully updated","Voorraad succesvol bijgewerkt."
"Move Up","Omhoog verplaatsen"
"Move Down","Omlaag verplaatsen"
