"Add Content Item","Añadir elemento de contenido"
"Back to Content Items","Volver a los elementos de contenido"
Cancel,Cancelar
"Content Item","Elemento de contenido"
"Content Item ID","ID del elemento de contenido"
"Content Item Key","Clave del elemento de contenido"
"Content Items","Elementos de contenido"
"Content Type","Tipo de contenido"
"Create Content Item","Crear elemento de contenido"
Default,Predeterminado
"Edit Content Item","Editar elemento de contenido"
"Edit Widget","Editar widget"
Insert,Insertar
"Insert a Content Item","Insertar un elemento de contenido"
"Invalid data provided","Datos no válidos proporcionados"
"List of Content Items","Lista de elementos de contenido"
Name,Nombre
"Overview of Content Items","Resumen de elementos de contenido"
"Overwrite default by specifying a different list per specific locale","Sobrescribir predeterminado especificando diferentes elementos de contenido por localización específica"
"Overwrite default by specifying different content elements per specific locale","Sobrescribir predeterminado especificando diferentes elementos de contenido por localización específica"
"Please select a content item","Seleccione un elemento de contenido"
"Please select a template","Seleccione una plantilla"
Save,Guardar
"Select a content item","Seleccionar un elemento de contenido"
"Select a template","Seleccionar una plantilla"
Updated,Actualizado
"Content item has been successfully created.","El elemento de contenido se ha creado correctamente."
"Content item has been successfully updated.","El elemento de contenido se ha actualizado correctamente."
"Stock successfully updated","Existencias actualizadas correctamente."
"Move Up","Mover hacia arriba"
"Move Down","Mover hacia abajo"
