"Add Content Item",添加内容项
"Back to Content Items",返回内容项
Cancel,取消
"Content Item",内容项
"Content Item ID",内容项ID
"Content Item Key",内容项键
"Content Items",内容项
"Content Type",内容类型
"Create Content Item",创建内容项
Default,默认
"Edit Content Item",编辑内容项
"Edit Widget",编辑小部件
Insert,插入
"Insert a Content Item",插入内容项
"Invalid data provided",提供的数据无效
"List of Content Items",内容项列表
Name,名称
"Overview of Content Items",内容项概述
"Overwrite default by specifying a different list per specific locale",通过指定特定区域设置的不同内容元素来覆盖默认设置
"Overwrite default by specifying different content elements per specific locale",通过指定特定区域设置的不同内容元素来覆盖默认设置
"Please select a content item",请选择一个内容项
"Please select a template",请选择一个模板
Save,保存
"Select a content item",选择一个内容项
"Select a template",选择一个模板
Updated,已更新
"Content item has been successfully created.",内容项已成功创建
"Content item has been successfully updated.",内容项已成功更新
"Stock successfully updated",库存已成功更新
"Move Up",上移
"Move Down",下移
