"Add New User","Aggiungi nuovo utente"
"Add User","Aggiungi utente"
"Assign Customers","Assegna clienti"
Create,Crea
"Edit User","Modifica utente"
"General Information","Informazioni generali"
"List Users","Elenco degli utenti"
"Repeat Password","Ripeti password"
Save,Salva
Update,Aggiorna
"Last Login","Ultimo accesso"
"User entity was not created.","L'entità utente non è stata creata."
"User entity was not updated.","L'entità utente non è stata aggiornata."
"User was not activated.","L'utente non è stato attivato."
"User was not deactivated.","L'utente non è stato disattivato."
"User was not deleted.","L'utente non è stato eliminato."
User,Utente
"Create new User","Crea nuovo utente"
"Create user","Crea utente"
Warning,Avviso
"Delete User","Elimina utente"
"You are trying to delete user","Stai cercando di eliminare l'utente"
"Root group","Gruppo principale"
E-mail,E-Mail
