"Add New User","Adicionar Novo Utilizador"
"Add User","Adicionar Utilizador"
"Assign Customers","Atribuir Clientes"
Create,Criar
"Edit User","Editar Utilizador"
"General Information","Informações Gerais"
"List Users","Lista de utilizadores"
"Repeat Password","Repetir Palavra-passe"
Save,Guardar
Update,Atualizar
"Last Login","Último Login"
"User entity was not created.","A entidade de utilizador não foi criada."
"User entity was not updated.","A entidade de utilizador não foi atualizada."
"User was not activated.","O utilizador não foi ativado."
"User was not deactivated.","O utilizador não foi desativado."
"User was not deleted.","O utilizador não foi eliminado."
User,Utilizador
"Create new User","Criar novo Utilizador"
"Create user","Criar utilizador"
Warning,Aviso
"Delete User","Eliminar Utilizador"
"You are trying to delete user","Está a tentar eliminar o utilizador"
"Root group","Grupo Raiz"
E-mail,E-Mail
