Approved,批准
"Back to CMS",返回CMS
"Back to list",返回列表
"Block Id",块ID
Blocks,块
"Categories: bottom",底部分类
"Categories: middle",中部分类
"Categories: top",顶部分类
"Category list",分类列表
"CMS Block",CMS块
"CMS Block was created successfully.",CMS块创建成功。
"CMS Block was deactivated successfully.",CMS块已成功停用。
"CMS Block was updated successfully.",CMS块已成功更新。
Content,内容
"Create block",创建块
"Create CMS Block",创建CMS块
"Edit block",编辑块
"Edit Block Glossary:",编辑块术语：
"Edit CMS Block:",编辑CMS块：
"Edit placeholders",编辑占位符
"Invalid data provided.",提供的数据无效。
"Is active:",是否激活：
"List of CMS blocks",CMS块列表
"Missing placeholders for selected template.",所选模板缺少占位符。
n/a,n/a
Name,名称
no,否
"Overview of CMS Blocks",CMS块概述
"Placeholder translations successfully updated.",占位符翻译已成功更新。
"Product list",产品列表
Sales,销售
Save,保存
"Selected template doesn't exist anymore",所选模板不再存在
"Selected template doesn't exist anymore.",所选模板不再存在。
"Store relation",店铺关联
Template,模板
Template:,模板：
"Translation key:",翻译键：
"Valid from",有效期从
"Valid from:",有效期从（包括）
"Valid to",有效期
"Valid to:",有效期（不包括）：
"View CMS Block:",查看CMS块：
yes,是
"Create new CMS Block",创建新的CMS块
"CMS content widgets usage information",CMS内容小部件使用信息
"CMS Block was activated successfully.",CMS块已成功激活。
"Edit Placeholder",编辑占位符
"Edit Block",编辑块
"Edit CMS Block Glossary",编辑CMS块词汇表
