Approved,Goedgekeurd
"Back to CMS","Terug naar CMS"
"Back to list","Terug naar lijst"
"Block Id",Blok-ID
Blocks,Blokken
"Categories: bottom","Categorieën: onderaan"
"Categories: middle","Categorieën: in het midden"
"Categories: top","Categorieën: bovenaan"
"Category list","Lijst met categorieën"
"CMS Block",CMS-blok
"CMS Block was created successfully.","CMS-blok is succesvol aangemaakt."
"CMS Block was deactivated successfully.","CMS-blok is succesvol gedeactiveerd."
"CMS Block was updated successfully.","CMS-blok is succesvol bijgewerkt."
Content,Inhoud
"Create block","Blok aanmaken"
"Create CMS Block","CMS-blok aanmaken"
"Edit block","Blok bewerken"
"Edit Block Glossary:","Blok Glossarium bewerken:"
"Edit CMS Block:","CMS-blok bewerken:"
"Edit placeholders","Plaatsaanduidingen bewerken"
"Invalid data provided.","Ongeldige gegevens verstrekt."
"Is active:","Is actief:"
"List of CMS blocks","Overzicht van CMS-blokken"
"Missing placeholders for selected template.","Plaatsaanduidingen ontbreken voor geselecteerde sjabloon."
n/a,n/a
Name,Naam
no,Nee
"Overview of CMS Blocks","Overzicht van CMS-blokken"
"Placeholder translations successfully updated.","Plaatsaanduidingen succesvol bijgewerkt."
"Product list",Productlijst
Sales,Verkoop
Save,Opslaan
"Selected template doesn't exist anymore","Geselecteerde sjabloon bestaat niet meer"
"Selected template doesn't exist anymore.","Geselecteerde sjabloon bestaat niet meer."
"Store relation",Winkelrelatie
Template,Sjabloon
Template:,Sjabloon:
"Translation key:",Vertalingscode:
"Valid from","Geldig vanaf"
"Valid from:","Geldig vanaf (inbegrepen):"
"Valid to","Geldig tot"
"Valid to:","Geldig tot (uitgesloten):"
"View CMS Block:","Bekijk CMS-blok:"
yes,Ja
"Create new CMS Block","Nieuw CMS-blok maken"
"CMS content widgets usage information","Informatie over het gebruik van CMS-contentwidgets"
"CMS Block was activated successfully.","CMS-blok is succesvol geactiveerd."
"Edit Placeholder","Plaatsaanduiding bewerken"
"Edit Block","Blok bewerken"
"Edit CMS Block Glossary","CMS-blokwoordenlijst bewerken"
