cart.remove.items.success,"تمت إزالة المنتجات بنجاح",ar_AE
cart.add.items.success,"تمت إضافة العناصر بنجاح",ar_AE
cart.your-order,طلبك,ar_AE
cart.price,السعر,ar_AE
cart.shipping.order-item,"+ الشحن",ar_AE
cart.shipping,الشحن,ar_AE
cart.total,الإجمالي,ar_AE
cart.checkout,الدفع,ar_AE
cart.empty,"سلة التسوق الخاصة بك فارغة!",ar_AE
cart.cart,"عربة التسوق",ar_AE
cart.total.discount,خصم,ar_AE
cart.vouchers,قسائم,ar_AE
cart.discounts,تخفيضات,ar_AE
cart.sales-order-threshold,"الحد الأدنى لقيمة الطلب",ar_AE
cart.title.available_discounts,"الخصومات المتاحة",ar_AE
cart_widget.add_product.separate,"إضافة كعنصر منفصل",ar_AE
checkout.sales-order-threshold,"الحد الأدنى لقيمة الطلب",ar_AE
sales-order-threshold.expense.name,"رسوم إضافية",ar_AE
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,"رسوم إضافية",ar_AE
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,"رسوم إضافية",ar_AE
cart.item_quantity,الكمية,ar_AE
cart.item_attributes_needed,"يرجى اختيار المزيد من السمات",ar_AE
cart.voucher.redeem,"رمز الاسترداد",ar_AE
cart.price.subtotal,"المجموع الفرعي",ar_AE
cart.price.grand.total,"المجموع الكلي",ar_AE
cart.total.tax_total,الضريبة,ar_AE
cart.total.tax_total.calculated_at_checkout,"محسوبة عند الخروج",ar_AE
auth.login,الاشتراك,ar_AE
auth.password,"كلمة المرور",ar_AE
auth.password-forgot,"هل نسيت؟",ar_AE
auth.email,"البريد الإلكتروني",ar_AE
auth.register,تسجيل,ar_AE
auth.im-new-customer,"عميل جديد",ar_AE
auth.im-already-customer,"لدي حساب بالفعل",ar_AE
navigation.menu.categories,التصنيفات,ar_AE
navigation.menu.have-a-look,"يستحق النظر",ar_AE
page.checkout.errors,"يرجى التحقق من إدخالك.",ar_AE
page.checkout.client.existing,"العميل الحالي",ar_AE
page.checkout.client.new,"عميل جديد",ar_AE
customer.password,"كلمة المرور",ar_AE
password.confirm,"تأكيد كلمة المرور",ar_AE
page.checkout.address.heading,"1. بيانات العنوان",ar_AE
page.checkout.address.name,الاسم,ar_AE
page.checkout.address.billing-address,"عنوان الفوترة",ar_AE
page.checkout.address.billing-isnt-shipping-address,"عنوان التوصيل المختلف",ar_AE
page.checkout.address.shipping-address,"عنوان التوصيل",ar_AE
page.checkout.address.address-example,"مثال:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth",ar_AE
page.checkout.address.next-step,"المتابعة إلى طريقة الشحن",ar_AE
page.checkout.address.edit,"تعديل بيانات العنوان",ar_AE
page.checkout.address.use_selected_address,"استخدام العنوان المحدد",ar_AE
page.checkout.address.different_delivery_address,"استخدم عنوان تسليم مختلف",ar_AE
page.checkout.address.different_billing_address,"استخدم عنوان فوترة مختلف",ar_AE
page.checkout.address.option_group.customer,"عناوين العملاء",ar_AE
page.checkout.address.option_group.company_business_unit,"عناوين الأعمال",ar_AE
page.checkout.address.delivery.address_select,"اختر عنوان التسليم",ar_AE
page.checkout.address.billing.address_select,"اختر عنوان الفوترة",ar_AE
page.checkout.shipment.heading,"2. طريقة الشحن",ar_AE
shipment.standart.name,قياسي,ar_AE
shipment.express.name,سريع,ar_AE
shipment.standart.description,"2-4 أيام عمل",ar_AE
page.checkout.shipping.delivery_time,"وقت التوصيل:",ar_AE
page.checkout.shipping.day,يوم,ar_AE
page.checkout.shipping.days,أيام,ar_AE
page.checkout.shipping.price,السعر:,ar_AE
shipment.express.description,"24-48 ساعة (أيام عمل)",ar_AE
page.checkout.shipment.edit,"تعديل طريقة الشحن",ar_AE
page.checkout.shipment.next-step,"المتابعة إلى طريقة الدفع",ar_AE
page.checkout.shipment.item.quantity,الكمية,ar_AE
page.checkout.shipment.item.price,السعر,ar_AE
page.checkout.shipment.shipping_address.title,"عنوان التسليم",ar_AE
page.checkout.shipment.requested_delivery_date.label,"تاريخ التسليم المطلوب",ar_AE
page.checkout.shipment.requested_delivery_date.placeholder,"اتركه فارغاً إذا كنت ترغب في الحصول عليه في أقرب وقت ممكن",ar_AE
page.checkout.shipment.requested_delivery_date.title,"متى ترغب في التسليم؟",ar_AE
page.checkout.payment.heading,"3. طريقة الدفع",ar_AE
page.checkout.payment.edit,"تعديل طريقة الدفع",ar_AE
page.checkout.payment.next-step,"استمر في إتمام الطلب",ar_AE
page.checkout.summary.billing,"عنوان الفاتورة",ar_AE
page.checkout.summary.shipping,"عنوان الشحن",ar_AE
page.checkout.summary.date_of_birth,"تاريخ الميلاد",ar_AE
