"Add a file","Adicionar um ficheiro"
"Add MIME type","Adicionar tipo MIME"
"Back to File Directory Elements","Voltar para os Elementos do Diretório de Ficheiros"
"Back to File Tree","Voltar para a Árvore de Ficheiros"
"Back to MIME type list","Voltar para a lista de tipos MIME"
Cancel,Cancelar
confirm,confirmar
"Confirm deleting","Confirmar eliminação"
"Create Directory Element","Criar Elemento de Diretório"
"Create File Directory","Criar Diretório de Ficheiros"
Date,data
"Delete Directory","Eliminar Diretório"
"Directory element details","Detalhes do elemento de diretório"
"Do you want to remove the folder with all files?","Deseja remover a pasta com todos os ficheiros?"
"Edit file","Editar ficheiro"
"Edit MIME type","Editar tipo MIME"
"Failed to delete MIME type","Falha ao eliminar tipo MIME"
"File Directory tree updated successfully.","Árvore de Diretório de Ficheiros atualizada com sucesso."
"File List","Lista de Ficheiros"
"File Manager","Gestor de Ficheiros"
"File name","Nome do ficheiro"
"File Tree","Árvore de Ficheiros"
"File type","Tipo de ficheiro"
"File type is not allowed for uploading","O tipo de ficheiro não é permitido para upload"
"File upload","Upload de ficheiro"
"File was not found","Ficheiro não encontrado"
"Files list","Lista de ficheiros"
"MIME type","Tipo MIME"
"MIME type already exists","O tipo MIME já existe"
"MIME type settings","Definições de tipo MIME"
"MIME type was successfully deleted","Tipo MIME eliminado com sucesso"
"MIME type was successfully saved","Tipo MIME guardado com sucesso"
Save,Guardar
"Save order","Guardar Ordem"
"Specify a file name or use real one","Especificar um nome de ficheiro"
"The file directory was added successfully.","O diretório de ficheiros foi adicionado com sucesso"
"The file was added successfully.","O ficheiro foi adicionado com sucesso"
"The file was edited successfully.","O ficheiro foi editado com sucesso"
"Upload a file","Carregar um ficheiro"
"Upload a file or specify a new file name","Carregar um ficheiro ou especificar um novo nome de ficheiro"
"Use file name","Utilizar nome do ficheiro"
"View file","Ver ficheiro"
"Is allowed","É permitido"
"Add File","Adicionar ficheiro"
"File Directories Tree","Árvore de diretórios de ficheiros"
"Overview of File Tree","Visão geral da árvore de ficheiros"
"You cannot remove the only version of the file.","Não é possível remover a única versão do ficheiro."
"Available extensions for MIME type. Comma separated.","Extensões disponíveis para o tipo MIME. Separadas por vírgulas."
"There are no MIME types or extensions configured.","Não existem tipos MIME ou extensões configuradas."
