"Add a file","Aggiungi un file"
"Add MIME type","Aggiungi tipo MIME"
"Back to File Directory Elements","Torna alla directory dei file"
"Back to File Tree","Torna all'albero dei file"
"Back to MIME type list","Torna alla lista dei tipi MIME"
Cancel,Annulla
confirm,conferma
"Confirm deleting","Conferma eliminazione"
"Create Directory Element","Crea elemento di directory"
"Create File Directory","Crea directory dei file"
Date,data
"Delete Directory","Elimina directory"
"Directory element details","Dettagli dell'elemento di directory"
"Do you want to remove the folder with all files?","Vuoi rimuovere la cartella con tutti i file?"
"Edit file","Modifica file"
"Edit MIME type","Modifica tipo MIME"
"Failed to delete MIME type","Impossibile eliminare il tipo MIME"
"File Directory tree updated successfully.","L'albero della directory dei file è stato aggiornato con successo."
"File List","Elenco file"
"File Manager","Gestore file"
"File name","Nome file"
"File Tree","Albero dei file"
"File type","Tipo file"
"File type is not allowed for uploading","Il tipo di file non è consentito per l'upload"
"File upload","Carica file"
"File was not found","File non trovato"
"Files list","Elenco file"
"MIME type","Tipo MIME"
"MIME type already exists","Il tipo MIME esiste già"
"MIME type settings","Impostazioni tipo MIME"
"MIME type was successfully deleted","Il tipo MIME è stato eliminato con successo"
"MIME type was successfully saved","Il tipo MIME è stato salvato con successo"
Save,Salva
"Save order","Salva ordine"
"Specify a file name or use real one","Specifica un nome file"
"The file directory was added successfully.","La directory dei file è stata aggiunta con successo"
"The file was added successfully.","Il file è stato aggiunto con successo"
"The file was edited successfully.","Il file è stato modificato con successo"
"Upload a file","Carica un file"
"Upload a file or specify a new file name","Carica un file o specifica un nuovo nome file"
"Use file name","Usa nome file"
"View file","Visualizza file"
"Is allowed","È consentito"
"Add File","Aggiungi file"
"File Directories Tree","Struttura delle directory dei file"
"Overview of File Tree","Panoramica dell'albero dei file"
"You cannot remove the only version of the file.","Non puoi rimuovere l'unica versione del file."
"Available extensions for MIME type. Comma separated.","Estensioni disponibili per il tipo MIME. Separate da virgola."
"There are no MIME types or extensions configured.","Non sono configurati tipi MIME o estensioni."
