cart.remove.items.success,"Producten zijn succesvol verwijderd",nl_NL
cart.add.items.success,"Items succesvol toegevoegd",nl_NL
cart.add.items.error.text,"Er is iets misgegaan. Sorry.",nl_NL
cart.your-order,"Je bestelling",nl_NL
cart.price,Prijs,nl_NL
cart.shipping.order-item,Verzending,nl_NL
cart.shipping,Verzending,nl_NL
cart.total,Totaal,nl_NL
cart.checkout,Afrekenen,nl_NL
cart.empty,"Uw winkelwagen is leeg!",nl_NL
cart.cart,Winkelwagen,nl_NL
cart.total.discount,Korting,nl_NL
cart.vouchers,Vouchers,nl_NL
cart.discounts,Kortingen,nl_NL
cart.item_quantity,Aantal,nl_NL
cart.item_attributes_needed,"Selecteer alstublieft meer attributen",nl_NL
cart.voucher.redeem,"Code inwisselen",nl_NL
cart.price.subtotal,Totaalbedrag,nl_NL
cart.price.grand.total,Totaalbedrag,nl_NL
cart.total.tax_total,Belasting,nl_NL
cart.total.tax_total.calculated_at_checkout,"berekend bij het afrekenen",nl_NL
cart.delete.item,Verwijderen,nl_NL
cart.sales-order-threshold,"Minimale bestelwaarde",nl_NL
cart.title.available_discounts,"Beschikbare kortingen",nl_NL
checkout.sales-order-threshold,"Minimale bestelwaarde",nl_NL
sales-order-threshold.expense.name,Toeslag,nl_NL
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Toeslag,nl_NL
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Toeslag,nl_NL
auth.login,Aanmelden,nl_NL
auth.password,Wachtwoord,nl_NL
auth.password-forgot,Vergeten?,nl_NL
auth.email,E-mail,nl_NL
auth.register,Registreren,nl_NL
auth.im-new-customer,"Nieuwe klant",nl_NL
auth.im-already-customer,"Ik heb al een account",nl_NL
navigation.menu.categories,Categorieën,nl_NL
navigation.menu.have-a-look,"Het is de moeite waard om te bekijken.",nl_NL
page.checkout.errors,"Controleer alstublieft uw invoer.",nl_NL
page.checkout.client.existing,"Bestaande klant",nl_NL
page.checkout.client.new,"Nieuwe klant",nl_NL
customer.password,Wachtwoord,nl_NL
password.confirm,"Bevestig wachtwoord",nl_NL
page.checkout.address.heading,"1. Adresgegevens",nl_NL
page.checkout.address.name,Naam,nl_NL
page.checkout.address.billing-address,Factuuradres,nl_NL
page.checkout.address.billing-isnt-shipping-address,"Ander afleveradres",nl_NL
page.checkout.address.shipping-address,Afleveradres,nl_NL
page.checkout.address.address-example,"Voorbeeld:</br>Wayne Manor 1</br>10292 Gotham City</br>t.a.v. Alfred Pennyworth",nl_NL
page.checkout.address.next-step,"Doorgaan naar verzendmethode",nl_NL
page.checkout.address.edit,"Adresgegevens bewerken",nl_NL
page.checkout.address.use_selected_address,"Gebruik geselecteerd adres",nl_NL
page.checkout.address.different_delivery_address,"Gebruik een ander afleveradres",nl_NL
page.checkout.address.different_billing_address,"Gebruik een ander factuuradres",nl_NL
page.checkout.address.option_group.customer,Klantadressen,nl_NL
page.checkout.address.option_group.company_business_unit,"Zakelijke adressen",nl_NL
page.checkout.address.delivery.address_select,"Selecteer een afleveradres",nl_NL
page.checkout.address.multi_shipment.title,"Wijs elk product toe aan zijn eigen afleveradres.",nl_NL
page.checkout.address.billing.address_select,"Selecteer een factuuradres",nl_NL
page.checkout.address.manage_your_addresses,"Beheer uw adressen",nl_NL
page.checkout.address.address_select.label,"Selecteer een afleveradres",nl_NL
page.checkout.address.address_select.placeholder,"Selecteer een adres",nl_NL
page.checkout.shipment.heading,"2. Verzendmethode",nl_NL
page.checkout.shipment.shipping_method_heading,Verzendmethode,nl_NL
page.checkout.shipment.shipment_group_heading,"Verzending %current% van %total%",nl_NL
shipment.standart.name,Standaard,nl_NL
shipment.express.name,Express,nl_NL
shipment.standart.description,"2-4 werkdagen",nl_NL
page.checkout.shipping.delivery_time,Levertijd:,nl_NL
page.checkout.shipping.day,dag,nl_NL
page.checkout.shipping.days,dagen,nl_NL
page.checkout.shipping.price,Prijs:,nl_NL
shipment.express.description,"24-48 uur (werkdagen)",nl_NL
page.checkout.shipment.edit,"Bewerk verzendmethode",nl_NL
page.checkout.shipment.next-step,"Doorgaan naar betaalmethode",nl_NL
page.checkout.shipment.item.quantity,Bedrag,nl_NL
page.checkout.shipment.item.price,Prijs,nl_NL
page.checkout.shipment.shipping_address.title,Afleveradres,nl_NL
page.checkout.shipment.requested_delivery_date.label,"Gewenste leveringsdatum",nl_NL
page.checkout.shipment.requested_delivery_date.placeholder,"Laat het leeg als je het zo snel mogelijk wilt hebben.",nl_NL
page.checkout.shipment.requested_delivery_date.title,"Wanneer wilt u bezorgd worden?",nl_NL
page.checkout.payment.heading,"3. Betaalmethode",nl_NL
page.checkout.payment.title,Betaalmethode,nl_NL
page.checkout.payment.edit,"Bewerk Betaalmethode",nl_NL
page.checkout.payment.next-step,"Doorgaan om de bestelling af te ronden",nl_NL
page.checkout.summary.billing,Factuuradres,nl_NL
page.checkout.summary.shipping,Verzendadres,nl_NL
page.checkout.summary.date_of_birth,Geboortedatum,nl_NL
page.checkout.summary.card_type,Kaarttype,nl_NL
page.checkout.summary.card_number,Kaartnummer,nl_NL
page.checkout.summary.name_on_card,"Naam op de kaart",nl_NL
page.checkout.summary.card_expires,Vervaldatum,nl_NL
page.checkout.summary.complete_checkout,"Afrekenen afronden",nl_NL
