"Add Company","Añadir Empresa"
Approved,Aprobado
"Back to Companies","Volver a Empresas"
Company,Empresa
Companies,Empresas
"Company has been activated.","La empresa ha sido activada."
"Company has been approved.","La empresa ha sido aprobada."
"Company has been created.","La empresa ha sido creada."
"Company has been deactivated.","La empresa ha sido desactivada."
"Company has been denied.","La empresa ha sido denegada."
"Company has been updated.","La empresa ha sido actualizada."
"Company has not been created.","La empresa no ha sido creada."
"Company has not been updated.","La empresa no ha sido actualizada."
"Company Id","Id de Empresa"
"Create Company","Crear Empresa"
Denied,Denegado
Deny,Denegar
"Edit Company","Editar Empresa"
"List of Companies","Lista de empresas"
"Overview of Companies","Resumen de Empresas"
Save,Guardar
Pending,Pendiente
"Company name","Nombre de la empresa"
"Select company","Seleccionar empresa"
