"Add Company","Ajouter une entreprise"
Approved,Approuvé
"Back to Companies","Retour aux entreprises"
Company,Entreprise
Companies,Entreprises
"Company has been activated.","La société a été activée."
"Company has been approved.","La société a été approuvée."
"Company has been created.","La société a été créée."
"Company has been deactivated.","La société a été désactivée."
"Company has been denied.","La société a été refusée."
"Company has been updated.","La société a été mise à jour."
"Company has not been created.","La société n'a pas été créée."
"Company has not been updated.","La société n'a pas été mise à jour."
"Company Id","Identifiant de la société"
"Create Company","Créer une entreprise"
Denied,Refusé
Deny,Refuser
"Edit Company","Modifier l'entreprise"
"List of Companies","Liste des entreprises"
"Overview of Companies","Aperçu des entreprises"
Save,Enregistrer
Pending,"En attente"
"Company name","Nom de l'entreprise"
"Select company","Sélectionner une entreprise"
