"Add Company","Aggiungi Azienda"
Approved,Approvato
"Back to Companies","Torna alle Aziende"
Company,Azienda
Companies,Aziende
"Company has been activated.","L'azienda è stata attivata."
"Company has been approved.","L'azienda è stata approvata."
"Company has been created.","L'azienda è stata creata."
"Company has been deactivated.","L'azienda è stata disattivata."
"Company has been denied.","L'azienda è stata rifiutata."
"Company has been updated.","L'azienda è stata aggiornata."
"Company has not been created.","L'azienda non è stata creata."
"Company has not been updated.","L'azienda non è stata aggiornata."
"Company Id","ID Azienda"
"Create Company","Crea Azienda"
Denied,Rifiutato
Deny,Rifiuta
"Edit Company","Modifica Azienda"
"List of Companies","Elenco delle aziende"
"Overview of Companies","Panoramica delle Aziende"
Save,Salva
Pending,"In attesa"
"Company name","Nome azienda"
"Select company","Seleziona azienda"
