"Add Company","Adicionar Empresa"
Approved,Aprovado
"Back to Companies","Voltar para Empresas"
Company,Empresa
Companies,Empresas
"Company has been activated.","A empresa foi ativada."
"Company has been approved.","A empresa foi aprovada."
"Company has been created.","A empresa foi criada."
"Company has been deactivated.","A empresa foi desativada."
"Company has been denied.","A empresa foi negada."
"Company has been updated.","A empresa foi atualizada."
"Company has not been created.","A empresa não foi criada."
"Company has not been updated.","A empresa não foi atualizada."
"Company Id","ID da Empresa"
"Create Company","Criar Empresa"
Denied,Negado
Deny,Negar
"Edit Company","Editar Empresa"
"List of Companies","Lista de empresas"
"Overview of Companies","Visão geral das Empresas"
Save,Salvar
Pending,Pendente
"Company name","Nome da Empresa"
"Select company","Selecionar empresa"
