cart.remove.items.success,"I prodotti sono stati rimossi con successo.",it_IT
cart.add.items.error.text,"Qualcosa è andato storto. Spiacente.",it_IT
cart.add.items.success,"Articoli aggiunti con successo",it_IT
cart.your-order,"Il tuo ordine",it_IT
cart.product-option,"Opzioni prodotto",it_IT
cart.price,Prezzo,it_IT
cart.shipping.order-item,"+ Spedizione",it_IT
cart.shipping,Spedizione,it_IT
cart.total,Totale,it_IT
cart.checkout,Checkout,it_IT
cart.empty,"Il tuo carrello è vuoto!",it_IT
cart.cart,Carrello,it_IT
cart.total.discount,Sconto,it_IT
cart.vouchers,"Buoni regalo",it_IT
cart.discounts,Sconti,it_IT
cart.sales-order-threshold,"Valore minimo dell'ordine",it_IT
cart.title.available_discounts,"Sconti disponibili",it_IT
checkout.sales-order-threshold,"Valore minimo dell'ordine",it_IT
sales-order-threshold.expense.name,Sovrapprezzo,it_IT
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Sovrapprezzo,it_IT
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Sovrapprezzo,it_IT
cart.item_quantity,Quantità,it_IT
cart.item_attributes_needed,"Seleziona più attributi, per favore.",it_IT
cart.voucher.redeem,"Riscatta codice",it_IT
cart.price.subtotal,"Totale parziale",it_IT
cart.price.grand.total,"Totale complessivo",it_IT
cart.total.tax_total,Tasse,it_IT
cart.total.tax_total.calculated_at_checkout,"calcolato al momento del pagamento",it_IT
sales-order-threshold.hard-minimum-threshold.de.eur.message,"Dovresti aggiungere articoli per {{threshold}} per superare una soglia consigliata. Non puoi procedere con il checkout.",it_IT
sales-order-threshold.hard-minimum-threshold.de.chf.message,"Dovresti aggiungere articoli per {{threshold}} per superare una soglia consigliata. Non puoi procedere con il checkout.",it_IT
sales-order-threshold.hard-maximum-threshold.de.eur.message,"Il valore del carrello non può essere superiore a {{threshold}}. Rimuovi alcuni articoli per procedere con l'ordine.",it_IT
sales-order-threshold.hard-maximum-threshold.de.chf.message,"Il valore del carrello non può essere superiore a {{threshold}}. Rimuovi alcuni articoli per procedere con l'ordine.",it_IT
sales-order-threshold.soft-minimum-threshold.de.eur.message,"Devi aggiungere articoli per raggiungere una soglia consigliata di {{threshold}}, ma se vuoi puoi procedere al checkout.",it_IT
sales-order-threshold.soft-minimum-threshold.de.chf.message,"Devi aggiungere articoli per raggiungere una soglia consigliata di {{threshold}}, ma se vuoi puoi procedere al checkout.",it_IT
auth.login,Iscriviti,it_IT
auth.password,Password,it_IT
auth.password-forgot,Dimenticato?,it_IT
auth.email,E-mail,it_IT
auth.register,Registrati,it_IT
auth.im-new-customer,"Nuovo Cliente",it_IT
auth.im-already-customer,"Ho già un account",it_IT
navigation.menu.categories,Categorie,it_IT
navigation.menu.have-a-look,"Vale la pena dare un'occhiata",it_IT
page.checkout.errors,"Si prega di controllare la vostra inserzione.",it_IT
page.checkout.client.existing,"Cliente esistente",it_IT
page.checkout.client.new,"Nuovo Cliente",it_IT
customer.password,Password,it_IT
password.confirm,"Conferma password",it_IT
page.checkout.address.heading,"1. Dati di indirizzo",it_IT
page.checkout.address.name,Nome,it_IT
page.checkout.address.billing-address,"Indirizzo di fatturazione",it_IT
page.checkout.address.billing-isnt-shipping-address,"Indirizzo di consegna diverso",it_IT
page.checkout.address.shipping-address,"Indirizzo di consegna",it_IT
page.checkout.address.address-example,"Esempio:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth",it_IT
page.checkout.address.next-step,"Continua con il Metodo di Spedizione",it_IT
page.checkout.address.edit,"Modifica dati indirizzo",it_IT
page.checkout.address.use_selected_address,"Usa l'indirizzo selezionato",it_IT
page.checkout.address.different_delivery_address,"Utilizza un indirizzo di consegna diverso",it_IT
page.checkout.address.different_billing_address,"Utilizza un indirizzo di fatturazione diverso",it_IT
page.checkout.address.option_group.customer,"Indirizzi dei clienti",it_IT
page.checkout.address.option_group.company_business_unit,"Indirizzi aziendali",it_IT
page.checkout.address.delivery.address_select,"Seleziona un indirizzo di consegna",it_IT
page.checkout.address.billing.address_select,"Seleziona un indirizzo di fatturazione",it_IT
page.checkout.address.manage_your_addresses,"Gestisci i tuoi indirizzi",it_IT
page.checkout.address.address_select.label,"Seleziona un indirizzo di consegna",it_IT
page.checkout.address.address_select.placeholder,"Seleziona un indirizzo",it_IT
page.checkout.address.multi_shipment.title,"Assegna ogni prodotto al suo indirizzo di consegna.",it_IT
page.checkout.shipment.heading,"2. Metodo di spedizione",it_IT
shipment.standart.name,Standard,it_IT
shipment.express.name,Espresso,it_IT
shipment.standart.description,"2-4 giorni lavorativi",it_IT
