"Custom CSS class","Clase CSS personalizada"
"Date ""Valid from"" cannot be later than ""Valid to"".","La fecha ""Válida desde"" no puede ser posterior a ""Válida hasta""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","La fecha ""Válida hasta"" no puede ser anterior a ""Válida desde""."
"Edit Navigation Element: ","Editar elemento de navegación:"
"External URL","URL externa"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Si un nodo de navegación está inactivo, este elemento y todos los elementos de navegación debajo de este no serán visibles."
"Incorrect request data.","Datos de solicitud incorrectos."
"Links should start with ""/"".","Los enlaces deben comenzar con ""/""."
"List of navigation elements","Lista de elementos de navegación"
Navigation,Navegación
"Navigation element %d was activated successfully.","El elemento de navegación %d se activó correctamente."
"Navigation element %d was created successfully.","El elemento de navegación %d se creó correctamente."
"Navigation element %d was deactivated successfully.","El elemento de navegación %d se desactivó correctamente."
"Navigation element %d was deleted successfully.","El elemento de navegación %d se eliminó correctamente."
"Navigation element %d was not found.","No se encontró el elemento de navegación %d."
"Navigation element %d was updated successfully.","El elemento de navegación %d se actualizó correctamente."
"Navigation element details","Detalles del elemento de navegación"
"Navigation node ""%s"" was created successfully.","El nodo de navegación ""%s"" se creó correctamente."
"Navigation node ""%s"" was deleted successfully.","El nodo de navegación ""%s"" se eliminó correctamente."
"Navigation node ""%s"" was updated successfully.","El nodo de navegación ""%s"" se actualizó correctamente."
"Navigation tree updated successfully.","Árbol de navegación actualizado correctamente."
"Navigation with id %s doesn't exist","No existe una navegación con el id %s."
"Navigation with the same key already exists.","Ya existe una navegación con la misma clave."
"This value is not a valid category URL for the given locale.","Este valor no es una URL de categoría válida para el idioma proporcionado."
"This value is not a valid CMS page URL for the given locale.","Este valor no es una URL de página CMS válida para el idioma proporcionado."
"Type 3 letters to search by category name.","Escriba 3 letras para buscar por nombre de categoría."
"Type 3 letters to search by CMS page name.","Escriba 3 letras para buscar por nombre de página CMS."
"You can drag and drop to define item order.","Puede arrastrar y soltar para definir el orden de los elementos."
