"Custom CSS class","Classe CSS personalizada"
"Date ""Valid from"" cannot be later than ""Valid to"".","A data ""Válida de"" não pode ser posterior à data ""Válida até""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","A data ""Válida até"" não pode ser anterior à data ""Válida de""."
"Edit Navigation Element: ","Editar Elemento de Navegação:"
"External URL","URL Externa"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Se um nó de navegação estiver inativo, este item e todos os itens de navegação abaixo deste não serão visíveis."
"Incorrect request data.","Dados de solicitação incorretos."
"Links should start with ""/"".","Os links devem começar com ""/""."
"List of navigation elements","Lista de elementos de navegação"
Navigation,Navegação
"Navigation element %d was activated successfully.","O elemento de navegação %d foi ativado com sucesso."
"Navigation element %d was created successfully.","O elemento de navegação %d foi criado com sucesso."
"Navigation element %d was deactivated successfully.","O elemento de navegação %d foi desativado com sucesso."
"Navigation element %d was deleted successfully.","O elemento de navegação %d foi excluído com sucesso."
"Navigation element %d was not found.","O elemento de navegação %d não foi encontrado."
"Navigation element %d was updated successfully.","O elemento de navegação %d foi atualizado com sucesso."
"Navigation element details","Detalhes do elemento de navegação"
"Navigation node ""%s"" was created successfully.","O nó de navegação ""%s"" foi criado com sucesso."
"Navigation node ""%s"" was deleted successfully.","O nó de navegação ""%s"" foi excluído com sucesso."
"Navigation node ""%s"" was updated successfully.","O nó de navegação ""%s"" foi atualizado com sucesso."
"Navigation tree updated successfully.","Árvore de navegação atualizada com sucesso."
"Navigation with id %s doesn't exist","A navegação com o ID %s não existe."
"Navigation with the same key already exists.","Já existe uma navegação com a mesma chave."
"This value is not a valid category URL for the given locale.","Este valor não é um URL de categoria válido para o local especificado."
"This value is not a valid CMS page URL for the given locale.","Este valor não é um URL de página CMS válido para o local especificado."
"Type 3 letters to search by category name.","Digite 3 letras para pesquisar pelo nome da categoria."
"Type 3 letters to search by CMS page name.","Digite 3 letras para pesquisar pelo nome da página CMS."
"You can drag and drop to define item order.","Você pode arrastar e soltar para definir a ordem dos itens."
