"Forgot password?","Wachtwoord vergeten?"
Login,Inloggen
Reset,Resetten
"Email Address",E-mailadres
"Request token is missing!","Request token ontbreekt!"
"Invalid request token!","Ongeldige request token!"
"Password updated.","Wachtwoord bijgewerkt."
"Could not update password.","Kon wachtwoord niet bijwerken."
Password,Wachtwoord
"The password fields must match.","De wachtwoordvelden moeten overeenkomen."
"Repeat Password","Herhaal wachtwoord"
"Recover password","Wachtwoord herstellen"
"If there is an account associated with this email, you will receive an Email with further instructions.","Als er een account is gekoppeld aan dit e-mailadres, ontvang je een e-mail met verdere instructies."
