"Add Company Unit Address","Aggiungi Indirizzo Unità Aziendale"
"Addition to address","Aggiunta all'indirizzo"
"Back to Company Unit Addresses","Torna agli Indirizzi dell'Unità Aziendale"
"Company Unit Address","Indirizzo Unità Aziendale"
"Company unit address create failed.","Creazione dell'indirizzo dell'unità aziendale non riuscita."
"Company unit address has been successfully created.","L'indirizzo dell'unità aziendale è stato creato con successo."
"Company unit address has been successfully updated.","L'indirizzo dell'unità aziendale è stato aggiornato con successo."
"Company Unit Address Id","ID dell'Indirizzo dell'Unità Aziendale"
"Company unit address update failed.","Aggiornamento dell'indirizzo dell'unità aziendale non riuscito."
"Company Unit Addresses","Indirizzi dell'Unità Aziendale"
"Create Company Unit Address","Crea Indirizzo dell'Unità Aziendale"
"Edit Company Unit Address:","Modifica Indirizzo dell'Unità Aziendale:"
"Edit Company Unit Address","Modifica Indirizzo dell'Unità Aziendale"
"List of Company Unit Addresses","Elenco degli indirizzi dell'unità aziendale"
Number,numero
"Overview of Company Unit Addresses","Panoramica degli Indirizzi dell'Unità Aziendale"
Save,Salva
Street,Via
Zipcode,"Codice postale"
