"Add Company Unit Address","Adicionar Endereço da Unidade de Negócio"
"Addition to address","Adição ao endereço"
"Back to Company Unit Addresses","Voltar para os Endereços da Unidade da Empresa"
"Company Unit Address","Endereço da Unidade de Negócio"
"Company unit address create failed.","Falha ao criar endereço da unidade da empresa."
"Company unit address has been successfully created.","O endereço da unidade da empresa foi criado com sucesso."
"Company unit address has been successfully updated.","O endereço da unidade da empresa foi atualizado com sucesso."
"Company Unit Address Id","ID do Endereço da Unidade de Negócio"
"Company unit address update failed.","Falha ao atualizar endereço da unidade da empresa."
"Company Unit Addresses","Endereços da Unidade da Empresa"
"Create Company Unit Address","Criar Endereço da Unidade de Negócio"
"Edit Company Unit Address:","Editar Endereço da Unidade de Negócio:"
"Edit Company Unit Address","Editar Endereço da Unidade de Negócio"
"List of Company Unit Addresses","Lista de endereços da unidade de negócio"
Number,número
"Overview of Company Unit Addresses","Visão geral dos Endereços da Unidade de Negócio"
Save,Salvar
Street,Rua
Zipcode,"Código Postal"
