"Add Company Unit Address","إضافة عنوان وحدة الأعمال"
"Addition to address","إضافة إلى العنوان"
"Back to Company Unit Addresses","العودة إلى عناوين وحدة الشركة"
"Company Unit Address","عنوان وحدة الأعمال"
"Company unit address create failed.","فشل إنشاء عنوان وحدة الشركة."
"Company unit address has been successfully created.","تم إنشاء عنوان وحدة الشركة بنجاح."
"Company unit address has been successfully updated.","تم تحديث عنوان وحدة الشركة بنجاح."
"Company Unit Address Id","معرف عنوان وحدة الشركة"
"Company unit address update failed.","فشل تحديث عنوان وحدة الشركة."
"Company Unit Addresses","عناوين وحدة الشركة"
"Create Company Unit Address","إنشاء عنوان وحدة الشركة"
"Edit Company Unit Address:","تحرير عنوان وحدة الأعمال:"
"Edit Company Unit Address","تحرير عنوان وحدة الأعمال"
"List of Company Unit Addresses","قائمة عناوين وحدة الأعمال"
Number,رقم
"Overview of Company Unit Addresses","نظرة عامة على عناوين وحدة الأعمال"
Save,حفظ
Street,شارع
Zipcode,"الرمز البريدي"
