"Add Company Unit Address","Bedrijfseenheid adres toevoegen"
"Addition to address","Toevoeging aan adres"
"Back to Company Unit Addresses","Terug naar bedrijfseenheid adressen"
"Company Unit Address","Bedrijfseenheid adres"
"Company unit address create failed.","Aanmaken van bedrijfseenheid adres is mislukt."
"Company unit address has been successfully created.","Bedrijfseenheid adres is succesvol aangemaakt."
"Company unit address has been successfully updated.","Bedrijfseenheid adres is succesvol bijgewerkt."
"Company Unit Address Id","Bedrijfseenheid adres ID"
"Company unit address update failed.","Bijwerken van bedrijfseenheid adres is mislukt."
"Company Unit Addresses","Bedrijfseenheid adressen"
"Create Company Unit Address","Bedrijfseenheid adres aanmaken"
"Edit Company Unit Address:","Bewerk bedrijfseenheid adres:"
"Edit Company Unit Address","Bewerk bedrijfseenheid adres"
"List of Company Unit Addresses","Lijst met bedrijfseenheid adressen"
Number,nummer
"Overview of Company Unit Addresses","Overzicht van bedrijfseenheid adressen"
Save,Opslaan
Street,Straat
Zipcode,Postcode
