Actions,Acties
Active,Actief
Administration,Administratie
"Available in store","Beschikbaar in de winkel"
"Available in the following store(s)","Beschikbaar in de volgende winkel(s)"
Configuration,Configuratie
"Create Warehouse","Magazijn aanmaken"
"Edit Warehouse","Magazijn bewerken"
Inactive,Inactief
"Is this warehouse available?","Is dit magazijn beschikbaar?"
Name,Naam
No,Nee
Status,Status
"Stock not found","Voorraad niet gevonden"
"Store relation",Winkelrelatie
"Store Relation",Winkelrelatie
"This name is already in use.","Deze naam is al in gebruik."
View,Bekijken
"View Warehouse: ","Magazijn bekijken: "
"Warehouse has been successfully saved","Magazijn is succesvol opgeslagen"
"Warehouse has been successfully updated","Magazijn is succesvol bijgewerkt"
"Warehouse ID","Magazijn ID"
Warehouses,Magazijnen
Yes,Ja
