"Add attribute to search","إضافة سمة للبحث"
"Attribute key","مفتاح السمة"
"Attribute key is already used","تم استخدام مفتاح السمة بالفعل"
"Attribute to search was added successfully.","تمت إضافة سمة البحث بنجاح."
"Attribute to search was successfully deactivated.","تم إلغاء تنشيط سمة البحث بنجاح."
"Attribute to search was successfully updated.","تم تحديث سمة البحث بنجاح."
"Attribute with id %s doesn't exist","السمة ذات الهوية %s غير موجودة"
"Category Filters","مرشحات الفئة"
"Completion terms","مصطلحات الاستكمال"
"Create filter","إنشاء مرشح"
Delete,حذف
Edit,تعديل
"Edit filter order","تعديل ترتيب الفلتر"
"Edit search preferences","تعديل تفضيلات البحث"
"Edit Search Preferences","تعديل تفضيلات البحث"
"Filter name","اسم الفلتر"
"Filter position","موضع الفلتر"
"Filter Preferences","تفضيلات الفلتر"
"Filter preference was created successfully.","تم إنشاء تفضيل الفلتر بنجاح."
"Filter preference was updated successfully.","تم تحديث تفضيل الفلتر بنجاح."
"Filter preferences synchronization was successful.","تمت مزامنة تفضيلات التصفية بنجاح."
"Filter successfully deleted.","تم حذف التصفية بنجاح."
"Filter type","نوع التصفية"
"Full text","النص الكامل"
"Full text boosted","النص الكامل المعزز"
"General Information","معلومات عامة"
"Include for completion","مشمول للإكمال"
"Include for full text","مشمول للنص الكامل"
"Include for full text boosted","مشمول للنص الكامل المعزز"
"Include for suggestion","مشمول للاقتراح"
"List of filters","قائمة الفلاتر"
"List of search preferences","قائمة تفضيلات البحث"
multi-select,"اختيار متعدد"
range,نطاق
Save,حفظ
"Save Order","حفظ الطلب"
"Search and Filters","البحث والفلاتر"
"Search Preferences","تفضيلات البحث"
"Search preferences","تفضيلات البحث"
"Search preferences synchronization was successful.","تمت مزامنة تفضيلات البحث بنجاح."
single-select,"تحديد فردي"
"Suggestion terms","مصطلحات الاقتراح"
"Synchronize filter preferences","مزامنة تفضيلات التصفية"
"Synchronize search preferences","مزامنة تفضيلات البحث"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","هذا الحقل يحتوي على أحرف غير قانونية. يجب أن يحتوي فقط على أحرف صغيرة، أرقام، شرطات سفلية (""_""), شرطات (""-"") ونقاط ("":"")."
Translations,الترجمات
"Type first three letters of an existing attribute key for suggestions.","اكتب أول ثلاثة أحرف من مفتاح السمة الموجود للاقتراحات."
"View Filter","عرض الفلتر"
"Deactivate all","إلغاء التنشيط للكل"
"Create Filter","إنشاء فلتر"
"Edit filter","تعديل الفلتر"
