"Add attribute to search","Aggiungi attributo alla ricerca"
"Attribute key","Chiave attributo"
"Attribute key is already used","La chiave attributo è già in uso"
"Attribute to search was added successfully.","L'attributo di ricerca è stato aggiunto con successo."
"Attribute to search was successfully deactivated.","L'attributo di ricerca è stato disattivato con successo."
"Attribute to search was successfully updated.","L'attributo di ricerca è stato aggiornato con successo."
"Attribute with id %s doesn't exist","L'attributo con ID %s non esiste"
"Category Filters","Filtri di categoria"
"Completion terms","Termini di completamento"
"Create filter","Crea filtro"
Delete,Elimina
Edit,Modifica
"Edit filter order","Modifica ordine filtro"
"Edit search preferences","Modifica preferenze di ricerca"
"Edit Search Preferences","Modifica preferenze di ricerca"
"Filter name","Nome filtro"
"Filter position","Posizione filtro"
"Filter Preferences","Preferenze filtro"
"Filter preference was created successfully.","La preferenza filtro è stata creata con successo."
"Filter preference was updated successfully.","La preferenza filtro è stata aggiornata con successo."
"Filter preferences synchronization was successful.","La sincronizzazione delle preferenze filtro è stata effettuata con successo."
"Filter successfully deleted.","Filtro eliminato con successo."
"Filter type","Tipo filtro"
"Full text","Testo completo"
"Full text boosted","Testo completo potenziato"
"General Information","Informazioni generali"
"Include for completion","Incluso per completamento"
"Include for full text","Incluso per testo completo"
"Include for full text boosted","Incluso per testo completo potenziato"
"Include for suggestion","Incluso per suggerimento"
"List of filters","Elenco filtri"
"List of search preferences","Elenco preferenze di ricerca"
multi-select,multi-selezione
range,intervallo
Save,Salva
"Save Order","Salva ordine"
"Search and Filters","Ricerca e filtri"
"Search Preferences","Preferenze di ricerca"
"Search preferences","Preferenze di ricerca"
"Search preferences synchronization was successful.","La sincronizzazione delle preferenze di ricerca è stata effettuata con successo."
single-select,"Selezione singola"
"Suggestion terms","Termini suggeriti"
"Synchronize filter preferences","Sincronizza preferenze filtro"
"Synchronize search preferences","Sincronizza preferenze di ricerca"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","Questo campo contiene caratteri non validi. Dovrebbe contenere solo lettere minuscole, numeri, underscore (""_""), trattini (""-"") e due punti ("":"")."
Translations,Traduzioni
"Type first three letters of an existing attribute key for suggestions.","Digita le prime tre lettere di una chiave di attributo esistente per suggerimenti."
"View Filter","Visualizza filtro"
"Deactivate all","Disattiva tutto"
"Create Filter","Crea filtro"
"Edit filter","Modifica filtro"
