"Add attribute to search","Ajouter un attribut à la recherche"
"Attribute key","Clé d'attribut"
"Attribute key is already used","La clé d'attribut est déjà utilisée"
"Attribute to search was added successfully.","L'attribut de recherche a été ajouté avec succès."
"Attribute to search was successfully deactivated.","L'attribut de recherche a été désactivé avec succès."
"Attribute to search was successfully updated.","L'attribut de recherche a été mis à jour avec succès."
"Attribute with id %s doesn't exist","L'attribut avec l'identifiant %s n'existe pas"
"Category Filters","Filtres de catégorie"
"Completion terms","Termes de complétion"
"Create filter","Créer un filtre"
Delete,Supprimer
Edit,Modifier
"Edit filter order","Modifier l'ordre du filtre"
"Edit search preferences","Modifier les préférences de recherche"
"Edit Search Preferences","Modifier les préférences de recherche"
"Filter name","Nom du filtre"
"Filter position","Position du filtre"
"Filter Preferences","Préférences de filtre"
"Filter preference was created successfully.","La préférence de filtre a été créée avec succès."
"Filter preference was updated successfully.","La préférence de filtre a été mise à jour avec succès."
"Filter preferences synchronization was successful.","La synchronisation des préférences de filtre a réussi."
"Filter successfully deleted.","Filtre supprimé avec succès."
"Filter type","Type de filtre"
"Full text","Texte intégral"
"Full text boosted","Texte intégral boosté"
"General Information","Informations générales"
"Include for completion","Inclus pour la complétion"
"Include for full text","Inclus pour le texte intégral"
"Include for full text boosted","Inclus pour le texte intégral boosté"
"Include for suggestion","Inclus pour la suggestion"
"List of filters","Liste des filtres"
"List of search preferences","Liste des préférences de recherche"
multi-select,multi-sélection
range,plage
Save,Enregistrer
"Save Order","Enregistrer l'ordre"
"Search and Filters","Recherche et filtres"
"Search Preferences","Préférences de recherche"
"Search preferences","Préférences de recherche"
"Search preferences synchronization was successful.","La synchronisation des préférences de recherche a réussi."
single-select,"Sélection unique"
"Suggestion terms","Termes de suggestion"
"Synchronize filter preferences","Synchroniser les préférences de filtre"
"Synchronize search preferences","Synchroniser les préférences de recherche"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","Ce champ contient des caractères illégaux. Il ne doit contenir que des lettres minuscules, des chiffres, des tirets bas (""_""), des tirets (""-"") et des deux-points ("":"")."
Translations,Traductions
"Type first three letters of an existing attribute key for suggestions.","Tapez les trois premières lettres d'une clé d'attribut existante pour obtenir des suggestions."
"View Filter","Afficher le filtre"
"Deactivate all","Désactiver tout"
"Create Filter","Créer un filtre"
"Edit filter","Modifier le filtre"
