"Addition to address","Ajout à l'adresse"
"Average Delivery Time","Temps moyen de livraison"
"Banner URL","URL de la bannière"
"Banner url","URL de la bannière"
"Cancellation Policy","Politique d'annulation"
City,Ville
"Contact Person","Personne de contact"
Country,Pays
"Data Privacy","Confidentialité des données"
Description,Description
"Fax number","Numéro de fax"
"First Name",Prénom
Imprint,"Mentions légales"
"Last Name","Nom de famille"
Latitude,Latitude
"Legal Information","Informations légales"
"Logo URL","URL du logo"
Longitude,Longitude
"Merchant Profile","Profil du marchand"
"Merchant Reference","Référence du marchand"
Number,Numéro
Phone,Téléphone
"Public Email","Email public"
"Public Phone","Téléphone public"
Role,Rôle
Street,Rue
"Terms and Conditions","Termes et conditions"
Title,Titre
"Zip Code","Code postal"
