"Addition to address","Toevoeging aan adres"
"Average Delivery Time","Gemiddelde levertijd"
"Banner URL","Banner URL"
"Banner url","Banner url"
"Cancellation Policy",Annuleringsbeleid
City,Stad
"Contact Person",Contactpersoon
Country,Land
"Data Privacy",Gegevensbescherming
Description,Beschrijving
"Fax number",Faxnummer
"First Name",Voornaam
Imprint,Impressum
"Last Name",Achternaam
Latitude,Breedtegraad
"Legal Information","Juridische informatie"
"Logo URL","Logo URL"
Longitude,Lengtegraad
"Merchant Profile",Winkelprofiel
"Merchant Reference","Referentie van de verkoper"
Number,Nummer
Phone,Telefoon
"Public Email","Openbaar e-mailadres"
"Public Phone","Openbaar telefoonnummer"
Role,Rol
Street,Straat
"Terms and Conditions","Algemene voorwaarden"
Title,Titel
"Zip Code",Postcode
