"<- Prev Step","<- Prev Step"
"Add Item","Adicionar Item"
"Add Voucher","Adicionar Voucher"
"Added Items","Itens Adicionados"
"Billing address","Morada de Faturação"
"Billing same as shipping","Faturação igual ao envio"
"Create Customer","Criar Cliente"
"Create Order","Criar Encomenda"
"Customer is registered successfully.","Cliente registado com sucesso."
Discounts,Descontos
"Dummy payment invoice","Fatura de pagamento fictícia"
"Grand Total","Total Geral"
"Invalid data provided.","Dados inválidos fornecidos."
"Manual Order Entry","Entrada Manual de Encomenda"
Name,Nome
"Next Step ->","Próximo Passo ->"
"Order is created successfully.","Encomenda criada com sucesso."
"Order Source","Origem da Encomenda"
Payment,Pagamento
"Price to pay","Preço a pagar"
Quantity,Quantidade
Redeem,Resgatar
Sales,Vendas
Save,Guardar
"Select Customer","Selecionar Cliente"
"Select Products","Selecionar Produtos"
"Selecting a shipment method","Selecionar um método de envio"
Shipping,Envio
"Shipping address","Morada de Envio"
Sku,SKU
"Sub Total",Subtotal
Submit,Submeter
"Submit order","Submeter encomenda"
"Submit Order","Submeter encomenda"
"Sum Gross Price","Soma do Preço Bruto"
Tax,Imposto
"Unit Gross Price","Preço Bruto Unitário"
Vouchers,Vouchers
