"About Your Store","Sobre a sua loja"
"Addition to address","Adição ao endereço"
"Average Delivery Time","Tempo médio de entrega"
"Banner URL","URL do banner"
"Business Info","Informações da empresa"
"Cancellation Policy","Política de cancelamento"
City,Cidade
Company,Empresa
"Company Name","Nome da empresa"
"Contact Details & Address","Detalhes de contato e endereço"
"Contact Person","Detalhes da pessoa de contato"
Country,País
"Data Privacy","Privacidade de dados"
Description,Descrição
Dr,Dr
Email,Email
"Fax number","Número de fax"
"First Name","Primeiro nome"
Imprint,Impressão
"Is Active","Está ativo"
"Last Name",Sobrenome
Latitude,Latitude
"Logo URL","URL do logotipo"
Longitude,Longitude
"Merchant Reference","Referência do comerciante"
Mr,Sr
Mrs,Sra
Ms,Sra
Number,Número
"Online Profile","Perfil online"
"Store Status","Status da loja"
"Phone Number","Número de telefone"
Profile,Perfil
profile.status.message.online,"Isso significa que sua loja está disponível online e as pessoas podem vê-la."
profile.status.message.offline,"Isso significa que sua loja está disponível online e as pessoas podem vê-la."
"Provide a logo URL","Forneça um URL do logotipo"
"Provide a banner URL","Forneça um URL do banner"
"Provide Average Delivery Time","Forneça o tempo médio de entrega"
"Provide Data Privacy","Forneça a privacidade de dados"
"Provide Imprint","Forneça a impressão"
"Provide Cancellation Policy","Fornecer Política de Cancelamento"
"Provide Terms & Conditions","Fornecer Termos e Condições"
"Provide the URL of your Store","Fornecer o URL da sua Loja"
"Registration number","Número de Registro"
Role,Função
Save,Salvar
select.default.placeholder,Selecionar
"Store Profile URL","URL do Perfil da Loja"
store.state.online,"A sua Loja está online"
store.state.offline,"A sua Loja está online"
Street,Rua
"Tell us about your store","Conte-nos sobre a sua loja"
"Terms & Conditions","Termos e Condições"
"The Profile has been changed successfully.","O Perfil foi alterado com sucesso."
Title,Título
"Your Store is online","A sua Loja está online"
"Visual assets","Recursos visuais"
"Zip Code","Código Postal"
Stores,Lojas
