"About Your Store","Over uw winkel"
"Addition to address","Toevoeging aan adres"
"Average Delivery Time","Gemiddelde levertijd"
"Banner URL",Banner-URL
"Business Info",Bedrijfsinformatie
"Cancellation Policy",Annuleringsbeleid
City,Stad
Company,Bedrijf
"Company Name",Bedrijfsnaam
"Contact Details & Address","Contactgegevens en adres"
"Contact Person","Contactpersoon gegevens"
Country,Land
"Data Privacy",Gegevensprivacy
Description,Beschrijving
Dr,Dr
Email,E-mail
"Fax number",Faxnummer
"First Name",Voornaam
Imprint,Impressum
"Is Active","Is actief"
"Last Name",Achternaam
Latitude,Breedtegraad
"Logo URL",Logo-URL
Longitude,Lengtegraad
"Merchant Reference","Referentie van handelaar"
Mr,Dhr
Mrs,Mevr
Ms,Mevr
Number,Nummer
"Online Profile","Online profiel"
"Store Status",Winkelstatus
"Phone Number",Telefoonnummer
Profile,Profiel
profile.status.message.online,"Dit betekent dat uw winkel online beschikbaar is en mensen het kunnen zien."
profile.status.message.offline,"Dit betekent dat uw winkel online beschikbaar is en mensen het kunnen zien."
"Provide a logo URL","Geef een logo-URL op"
"Provide a banner URL","Geef een banner-URL op"
"Provide Average Delivery Time","Geef de gemiddelde levertijd op"
"Provide Data Privacy","Geef gegevensprivacy op"
"Provide Imprint","Geef een impressum op"
"Provide Cancellation Policy","Bied Annuleringsbeleid"
"Provide Terms & Conditions","Bied Algemene Voorwaarden"
"Provide the URL of your Store","Bied de URL van uw Winkel"
"Registration number",Registratienummer
Role,Rol
Save,Opslaan
select.default.placeholder,Selecteer
"Store Profile URL","Winkelprofiel URL"
store.state.online,"Uw Winkel is online"
store.state.offline,"Uw Winkel is online"
Street,Straat
"Tell us about your store","Vertel ons over uw winkel"
"Terms & Conditions","Algemene Voorwaarden"
"The Profile has been changed successfully.","Het profiel is succesvol gewijzigd."
Title,Titel
"Your Store is online","Uw Winkel is online"
"Visual assets","Visuele middelen"
"Zip Code",Postcode
Stores,Winkels
