"Abstract product availability",抽象产品可用性
Actions,操作
Availability,可用性
"Availability information for selected product - store pair does not exist.",所选配对（产品-商店）的可用性信息不存在。
Available,可用
"Available in stores",商店有货
"Back to product",返回产品
"Current Stock",当前库存
"Edit Stock",编辑库存
"Is never out of stock",永不缺货
"List of product availability",产品可用性列表
n/a,n/a
Name,名称
No,否
"Not available",不可用
"Product Availability",产品可用性
"Product availability list",产品可用性列表
"Products Availability",产品可用性
"Quantity in Bundle",捆绑数量
"Reserved Products",已预留产品
Save,保存
SKU,SKU
"Variant availability",变体可用性
Yes,是
"Overview of Products Availability",产品可用性概览
"Is bundle product",是捆绑产品
Store,商店
