"Abstract product availability","Abstracte productbeschikbaarheid"
Actions,Acties
Availability,Beschikbaarheid
"Availability information for selected product - store pair does not exist.","Er bestaat geen beschikbaarheidsinformatie voor het geselecteerde paar (product - winkel)."
Available,Beschikbaar
"Available in stores","Beschikbaar in winkels"
"Back to product","Terug naar product"
"Current Stock","Huidige voorraad"
"Edit Stock","Voorraad bewerken"
"Is never out of stock","Is nooit uit voorraad"
"List of product availability","Lijst met productbeschikbaarheid"
n/a,n/a
Name,Naam
No,Nee
"Not available","Niet beschikbaar"
"Product Availability",Productbeschikbaarheid
"Product availability list","Lijst met productbeschikbaarheid"
"Products Availability","Beschikbaarheid van producten"
"Quantity in Bundle","Aantal in bundel"
"Reserved Products","Gereserveerde producten"
Save,Opslaan
SKU,SKU
"Variant availability","Beschikbaarheid van variant"
Yes,Ja
"Overview of Products Availability","Overzicht van productbeschikbaarheid"
"Is bundle product","Is bundelproduct"
Store,Winkel
