"Abstract product availability","Disponibilità astratta del prodotto"
Actions,Azioni
Availability,Disponibilità
"Availability information for selected product - store pair does not exist.","Le informazioni sulla disponibilità per la coppia selezionata (prodotto - negozio) non esistono."
Available,Disponibile
"Available in stores","Disponibile nei negozi"
"Back to product","Torna al prodotto"
"Current Stock","Stock attuale"
"Edit Stock","Modifica stock"
"Is never out of stock","Non è mai esaurito"
"List of product availability","Elenco della disponibilità del prodotto"
n/a,n/a
Name,Nome
No,No
"Not available","Non disponibile"
"Product Availability","Disponibilità del prodotto"
"Product availability list","Elenco disponibilità prodotti"
"Products Availability","Disponibilità dei prodotti"
"Quantity in Bundle","Quantità nel bundle"
"Reserved Products","Prodotti riservati"
Save,Salva
SKU,SKU
"Variant availability","Disponibilità della variante"
Yes,Sì
"Overview of Products Availability","Panoramica della disponibilità dei prodotti"
"Is bundle product","È un prodotto bundle"
Store,Negozio
