"Abstract product availability","Disponibilidade do produto"
Actions,Ações
Availability,Disponibilidade
"Availability information for selected product - store pair does not exist.","A informação de disponibilidade para o par selecionado (produto - loja) não existe."
Available,Disponível
"Available in stores","Disponível nas lojas"
"Back to product","Voltar para o produto"
"Current Stock","Estoque atual"
"Edit Stock","Editar estoque"
"Is never out of stock","Nunca fica sem estoque"
"List of product availability","Lista de disponibilidade do produto"
n/a,n/a
Name,Nome
No,Não
"Not available",Indisponível
"Product Availability","Disponibilidade do produto"
"Product availability list","Lista de disponibilidade do produto"
"Products Availability","Disponibilidade dos produtos"
"Quantity in Bundle","Quantidade no pacote"
"Reserved Products","Produtos reservados"
Save,Salvar
SKU,SKU
"Variant availability","Disponibilidade da variante"
Yes,Sim
"Overview of Products Availability","Visão geral da disponibilidade dos produtos"
"Is bundle product","É um produto de pacote"
Store,Loja
