adjacency,adyacencia
"Adjacency Matrix","Matriz de adyacencia"
Application,Aplicación
"Architecture Sniffer","Architecture Sniffer"
"Architecture sniffer results","Resultados de Architecture Sniffer"
Back,Atrás
"Check for violations","Comprobar violaciones"
"Composer dependencies","Dependencias de Composer"
"Composer dev only dependencies","Dependencias solo para desarrollo de Composer"
"Core module","Módulo principal"
Count,Contar
"Declared in composer.json","Declarado en composer.json"
"Declared in composer.json (dev)","Declarado en composer.json (dev)"
Dependency,Dependencia
Dependencies,Dependencias
"Dependency graphs of all core modules","Gráficos de dependencias de todos los módulos principales"
detailed,detallado
"Dev only dependencies","Dependencias solo para desarrollo"
Development,Desarrollo
"Display all architecture rules","Mostrar todas las reglas de arquitectura"
"Download CSV","Descargar CSV"
"Found in src","Encontrado en src"
"Found in test","Encontrado en test"
From,Desde
in,en
"in src","en src"
"in tests","en tests"
Incoming,Entrante
"Incoming dependencies of the","Dependencias entrantes del"
"Indirect Incoming","Entrante indirecto"
"Indirect Outgoing","Saliente indirecto"
"Indirect Stability","Estabilidad indirecta"
"List all used plugins","Listar todos los plugins utilizados"
module,módulo
Module,módulo
"Module name","Nombre del módulo"
"Module overview","Resumen del módulo"
Namespace,"Espacio de nombres"
"No architecture violations detected","No se encontraron violaciones de arquitectura"
"No plugins used in this Module","No se utilizan plugins en este módulo"
out,fuera
Outgoing,Saliente
"Outgoing dependencies of the","Dependencias salientes de la"
"Plugins used in Projects DependencyProvider","Plugins utilizados en DependencyProvider de Proyectos"
Priority:,Prioridad:
"Project module","Módulo de proyecto"
Reload,Recargar
require,requerir
require-dev,requerir-dev
"show all used plugins","mostrar todos los plugins utilizados"
"Simple Dependency Graph","Gráfico de dependencia simple"
"Spryker Stability","Estabilidad de Spryker"
Stability,Estabilidad
"Stability is calculated by ""incoming dependencies / ( incoming dependencies + outgoing dependencies )"" the result will be between 0 (stable) and 1 (unstable)","La estabilidad se calcula como ""dependencias entrantes / (dependencias entrantes + dependencias salientes)"" el resultado estará entre 0 (estable) y 1 (inestable)"
"Stability of all core modules","Estabilidad de todos los módulos principales"
"Suggested dependencies","Dependencias sugeridas"
SUM,SUMA
To,A
"Used Plugins","Plugins utilizados"
"You must specify a bundle for which the graph should be build","Debe especificar un paquete para el cual se debe construir el gráfico"
"You need to run ""vendor/bin/console dev:dependency:build-tree"" to calculate stability for all bundles.","Debe ejecutar ""vendor/bin/console dev:dependency:build-tree"" para calcular la estabilidad de todos los paquetes."
