"Back to Translations","Terug naar Vertalingen"
"Create Translation","Vertaling maken"
"Edit Translation","Vertaling bewerken"
Glossary,Woordenlijst
"Glossary entry was not updated.","Woordenlijstitem is niet bijgewerkt."
"Glossary with id %s doesn't exist","Woordenlijstitem %s bestaat niet"
"List of translations","Lijst met vertalingen"
"Overview of Translations","Overzicht van vertalingen"
Save,Opslaan
"Translation %d was created successfully.","Vertaling %d is succesvol aangemaakt."
"Translation %d was updated successfully.","Vertaling %d is succesvol bijgewerkt."
"Translation details",Vertalingsdetails
