"Back to Translations","Retour aux traductions"
"Create Translation","Créer une traduction"
"Edit Translation","Modifier la traduction"
Glossary,Glossaire
"Glossary entry was not updated.","L'entrée du glossaire n'a pas été mise à jour."
"Glossary with id %s doesn't exist","L'entrée du glossaire %s n'existe pas."
"List of translations","Liste des traductions"
"Overview of Translations","Aperçu des traductions"
Save,Enregistrer
"Translation %d was created successfully.","La traduction %d a été créée avec succès."
"Translation %d was updated successfully.","La traduction %d a été mise à jour avec succès."
"Translation details","Détails de la traduction"
