"Back to Translations","Voltar para Traduções"
"Create Translation","Criar Tradução"
"Edit Translation","Editar Tradução"
Glossary,Glossário
"Glossary entry was not updated.","A entrada do glossário não foi atualizada."
"Glossary with id %s doesn't exist","A entrada do glossário %s não existe."
"List of translations","Lista de traduções"
"Overview of Translations","Visão geral das Traduções"
Save,Salvar
"Translation %d was created successfully.","A tradução %d foi criada com sucesso."
"Translation %d was updated successfully.","A tradução %d foi atualizada com sucesso."
"Translation details","Detalhes da tradução"
