"Architecture Sniffers","Architecture Sniffers"
Catalog,Catálogo
"Collector: Drop Search Timestamps","Collector: Drop Search Timestamps"
"Collector: Drop Storage Timestamps","Collector: Drop Storage Timestamps"
Content,Conteúdo
"Global Threshold","Limiar Global"
Marketplace,Mercado
"Merchant Relationships Threshold","Limiar de Relacionamentos de Comerciantes"
"MIME Type Settings","Configurações de Tipo MIME"
"Module Overview","Visão Geral do Módulo"
"Sync Permissions","Permissões de Sincronização"
"User Groups","Grupos de Usuários"
"User Roles","Funções de Usuário"
Users,Usuários
