"Architecture Sniffers","Architecture Sniffers"
Catalog,Catalogus
"Collector: Drop Search Timestamps","Collector: Drop Zoektijdstempels"
"Collector: Drop Storage Timestamps","Collector: Drop Opslagtijdstempels"
Content,Inhoud
"Global Threshold","Globale Drempelwaarde"
Marketplace,Marktplaats
"Merchant Relationships Threshold","Drempelwaarde Handelsrelaties Verkoper"
"MIME Type Settings","MIME-type Instellingen"
"Module Overview","Module Overzicht"
"Sync Permissions",Synchronisatiepermissies
"User Groups",Gebruikersgroepen
"User Roles",Gebruikersrollen
Users,Gebruikers
