"Architecture Sniffers","مستكشفو الهندسة المعمارية"
Catalog,كتالوج
"Collector: Drop Search Timestamps","جامع: إسقاط الطوابع الزمنية للبحث"
"Collector: Drop Storage Timestamps","جامع: إسقاط الطوابع الزمنية للتخزين"
Content,المحتوى
"Global Threshold","الحد العالمي"
Marketplace,السوق
"Merchant Relationships Threshold","حد العلاقات التجارية للتاجر"
"MIME Type Settings","إعدادات نوع MIME"
"Module Overview","نظرة عامة على الوحدة"
"Sync Permissions","تزامن الأذونات"
"User Groups","مجموعات المستخدمين"
"User Roles","أدوار المستخدمين"
Users,المستخدمين
