"Active filters","الفلاتر النشطة"
Add,إضافة
"Category Filters for","فلاتر الفئة لـ"
"Category Id","معرف الفئة"
"Category tree","شجرة الفئة"
"Filters for Category ""%s"" were updated successfully.","تم تحديث فلاتر الفئة ""%s"" بنجاح."
"Inactive filters","الفلاتر الغير نشطة"
"Overview of Category Filters","نظرة عامة على فلاتر الفئة"
"Remove all","إزالة الكل"
"Reset to global settings","إعادة تعيين إلى الإعدادات العامة"
"Root nodes list","قائمة الجذور"
Save,حفظ
Search,بحث
"There are no manual filter preferences defined for this category. The filters listed below are global settings. To define manual references for this category, modify the filters below.","لا توجد تفضيلات تصفية يدوية محددة لهذه الفئة. تعتبر التصفيات المدرجة أدناه إعدادات عامة. لتحديد المراجع اليدوية لهذه الفئة، قم بتعديل التصفيات أدناه."
"Type first three letters of an existing filter key for suggestions.","اكتب أول ثلاثة أحرف من مفتاح تصفية موجود للحصول على اقتراحات."
"Filters for Category ""%s"" cannot be saved. Invalid filter(s) provided.","لا يمكن حفظ تصفيات الفئة ""%s"". تم توفير تصفيات غير صالحة."
Submit,إرسال
"Please select a store to see the category filters:","يرجى تحديد متجر لعرض تصفيات الفئة:"
