"%s header(s) is missing in uploaded csv file","%s الرأس (الرؤوس) مفقود في ملف csv المُرفق"
"Abstract product was not found by provided sku %s.","لم يتم العثور على المنتج المجرد بواسطة رمز المنتج المُقدم %s."
Actions,الإجراءات
"An identical scheduled price already exists for this product.","يوجد بالفعل سعر مجدول مماثل لهذا المنتج."
"Are you sure about deleting the Scheduled prices %s?","هل أنت متأكد من حذف أسعار الجدولة %s؟"
"Are you sure about deleting this scheduled price?","هل أنت متأكد من حذف هذا السعر المجدول؟"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","بالنقر فوق زر ""نشر"" أدناه، ستقوم بإرسال أسعار الجدولة إلى النظام الحي."
"Concrete product was not found by provided sku %s.","لم يتم العثور على المنتج الفعلي بواسطة رمز المنتج المُقدم %s."
"Currency was not found by provided iso code %s.","لم يتم العثور على العملة بواسطة رمز iso المُقدم %s."
"Dates must be in right format and to date must be greater than from.","يجب أن تكون التواريخ في التنسيق الصحيح ويجب أن يكون تاريخ الانتهاء أكبر من تاريخ البداية."
Delete,حذف
Download,تحميل
Draft,مسودة
"Dry run of your import","تجربة جافة للاستيراد الخاص بك"
Edit,تحرير
"Eg: Christmas sales, etc.","مثال: مبيعات عيد الميلاد، إلخ."
Error,خطأ
"Errors found inside your file","تم العثور على أخطاء داخل ملفك"
"Finish at must be greater than start from","يجب أن يكون الانتهاء في وقت لاحق من بداية"
"Gross and Net Amount must be a positive integer.","يجب أن يكون الصافي والإجمالي مبلغًا صحيحًا إيجابيًا."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","إذا كنت ترغب في إعادة محاولة استيرادك ببيانات مصححة، استخدم زر ""استيراد ملف CSV الخاص بك""."
Import,استيراد
"Import ID","معرّف الاستيراد"
"Import n","استيراد n"
"Import new scheduled prices","استيراد أسعار مجدولة جديدة"
"Import Scheduled Prices","استيراد أسعار مجدولة"
"Import your CSV file","استيراد ملف CSV الخاص بك"
"Imported by and on the","تم الاستيراد بواسطة وفي"
"Imported by on the","تم الاستيراد بواسطة في"
"Importing a lot of scheduled prices can take some time.","قد يستغرق استيراد العديد من الأسعار المجدولة بعض الوقت."
"Learn about file format on our documentation","تعرف على تنسيق الملف في وثائقنا"
Name,الاسم
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","لم يتم معالجة أي أسعار. قد يكون لديك أخطاء فقط داخل الملف الخاص بك أو لم يتم تحديد أي أسعار."
"No, I want to keep this price","لا ، أريد الاحتفاظ بهذا السعر"
"Number of prices","عدد الأسعار"
"Number of products","عدد المنتجات"
"One Product Abstract Sku or Product Concrete Sku must be provided.","يجب توفير رمز المنتج المجرد الفردي أو رمز المنتج الملموس."
"Price type was not found by provided sku %s.","لم يتم العثور على نوع السعر بواسطة رمز المنتج المعطى %s."
Prices,الأسعار
"Publish the scheduled prices","نشر الأسعار المجدولة"
Published,"تم النشر"
"Row n°","الصف الرقم"
"Row processed with success","تم معالجة الصف بنجاح"
"Schedule name","اسم الجدول الزمني"
"Schedule price haven not been saved","لم يتم حفظ سعر الجدول الزمني"
"Scheduled price already exists.","سعر الجدول الزمني موجود بالفعل."
"Scheduled price has been successfully saved","تم حفظ سعر الجدول الزمني بنجاح"
"Scheduled price list was successfully removed","تمت إزالة قائمة أسعار الجدول الزمني بنجاح"
"Scheduled Prices","أسعار الجدول الزمني"
"Scheduled prices inside import","أسعار الجدول الزمني داخل الاستيراد"
"Scheduled Prices: Import dry run","الأسعار المجدولة: تجربة جافة للاستيراد"
"Select your CSV file","حدد ملف CSV الخاص بك"
Status,الحالة
"Store was not found by provided name %s.","لم يتم العثور على المتجر بالاسم المقدم %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","سيتم استخدام المنطقة الزمنية المحددة للسعر المجدول وهي %s كما هو محدد في المتجر المحدد"
"They will be available to your customers based on the dates","سيتم توفيرها لعملائك استنادًا إلى التواريخ"
"Via data import","عبر استيراد البيانات"
View,عرض
"Yes, delete this price","نعم، احذف هذا السعر"
"Yes, delete those prices","نعم، احذف تلك الأسعار"
"No, I want to keep those prices","لا، أريد الاحتفاظ بهذه الأسعار"
"Delete Import","حذف الاستيراد"
"You will delete %d prices for %d products. Is this what you want?","سوف تقوم بحذف %d أسعار لـ %d منتج. هل هذا ما تريده؟"
"You will find below the list errors and successfully processed rows inside your import file.","ستجد أدناه قائمة الأخطاء والصفوف التي تمت معالجتها بنجاح في ملف الاستيراد الخاص بك."
"Your file does not contain any errors.","ملفك لا يحتوي على أي أخطاء."
"Your prices are now available to your custoers based on their start and end date.","أصبحت أسعارك الآن متاحة لعملائك بناءً على تاريخ بدء وانتهاء العرض."
"Your prices are now available to your customers based on their start and end date.","أصبحت أسعارك الآن متاحة لعملائك بناءً على تاريخ بدء وانتهاء العرض."
"Your scheduled prices have been published","تم نشر أسعارك المجدولة"
"Price type","نوع السعر"
"Start from (included)","البدء من (مشمول)"
"Finish at (included)","الانتهاء في (مشمول)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","يمكنك تحديد سعر للمنتج سيكون ساري المفعول في تاريخ ووقت مستقبلي. يمكنك تحديد أسعار متعددة في نفس الفترة."
"Import via CSV file","استيراد عبر ملف CSV"
"Add scheduled price","إضافة سعر مجدول"
"Scheduled prices inside this import","أسعار مجدولة داخل هذا الاستيراد"
"View Import","عرض الاستيراد"
"Edit Import","تحرير الاستيراد"
"Edit Scheduled Price","تحرير السعر المجدول"
"Scheduled price information","معلومات السعر المجدول"
"Scheduled price was successfully removed","تمت إزالة السعر المجدول بنجاح."
"Choose store","اختر المتجر"
"Choose currency","اختر العملة"
"Net price or gross price must be filled","يجب ملء السعر الصافي أو السعر الإجمالي"
"Scheduled prices imported","تم استيراد الأسعار المجدولة"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","سيتم استخدام المنطقة الزمنية المحددة للسعر المجدول <b class=""timezone""></b> كما هو محدد في المتجر المحدد"
