"%s header(s) is missing in uploaded csv file","%s header(s) mancante(i) nel file csv caricato"
"Abstract product was not found by provided sku %s.","Prodotto astratto non trovato per il codice sku %s."
Actions,Azioni
"An identical scheduled price already exists for this product.","Esiste già un prezzo programmato identico per questo prodotto."
"Are you sure about deleting the Scheduled prices %s?","Sei sicuro di voler eliminare i prezzi programmati %s?"
"Are you sure about deleting this scheduled price?","Sei sicuro di voler eliminare questo prezzo programmato?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","Cliccando sul pulsante ""Pubblica"" di seguito, invierai i prezzi programmati al sistema live."
"Concrete product was not found by provided sku %s.","Prodotto concreto non trovato per il codice sku %s."
"Currency was not found by provided iso code %s.","Valuta non trovata per il codice iso %s."
"Dates must be in right format and to date must be greater than from.","Le date devono essere nel formato corretto e la data di fine deve essere successiva a quella di inizio."
Delete,Elimina
Download,Scarica
Draft,Bozza
"Dry run of your import","Prova a secco del tuo import"
Edit,Modifica
"Eg: Christmas sales, etc.","Esempio: Saldi di Natale, ecc."
Error,Errore
"Errors found inside your file","Errori trovati nel tuo file"
"Finish at must be greater than start from","La data di fine deve essere successiva alla data di inizio"
"Gross and Net Amount must be a positive integer.","L'importo lordo e netto deve essere un numero intero positivo."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Se desideri riprovare l'importazione con dati corretti, utilizza il pulsante ""Importa il tuo file csv""."
Import,Importa
"Import ID","ID importazione"
"Import n","Importazione n"
"Import new scheduled prices","Importa nuovi prezzi programmati"
"Import Scheduled Prices","Importa prezzi programmati"
"Import your CSV file","Importa il tuo file CSV"
"Imported by and on the","Importato da e il"
"Imported by on the","Importato da il"
"Importing a lot of scheduled prices can take some time.","L'importazione di molti prezzi programmati può richiedere del tempo."
"Learn about file format on our documentation","Scopri il formato del file nella nostra documentazione"
Name,Nome
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","Nessun prezzo è stato elaborato. Potresti avere solo errori nel tuo file o nessun prezzo è stato definito."
"No, I want to keep this price","No, voglio mantenere questo prezzo"
"Number of prices","Numero di prezzi"
"Number of products","Numero di prodotti"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Deve essere fornito un codice sku per il prodotto astratto o il prodotto concreto."
"Price type was not found by provided sku %s.","Tipologia di prezzo non trovata per il codice sku %s."
Prices,Prezzi
"Publish the scheduled prices","Pubblica i prezzi programmati"
Published,Pubblicato
"Row n°","Riga n°"
"Row processed with success","Riga elaborata con successo"
"Schedule name","Nome pianificazione"
"Schedule price haven not been saved","Il prezzo della pianificazione non è stato salvato"
"Scheduled price already exists.","Il prezzo della pianificazione è già presente."
"Scheduled price has been successfully saved","Il prezzo della pianificazione è stato salvato con successo"
"Scheduled price list was successfully removed","La lista dei prezzi pianificati è stata rimossa con successo"
"Scheduled Prices","Prezzi pianificati"
"Scheduled prices inside import","Prezzi pianificati all'interno dell'importazione"
"Scheduled Prices: Import dry run","Prezzi pianificati: Prova a secco dell'importazione"
"Select your CSV file","Seleziona il tuo file CSV"
Status,Stato
"Store was not found by provided name %s.","Il negozio non è stato trovato con il nome fornito %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","Il fuso orario utilizzato per il prezzo pianificato sarà %s come definito nel negozio selezionato"
"They will be available to your customers based on the dates","Saranno disponibili per i tuoi clienti in base alle date"
"Via data import","Tramite importazione dati"
View,Visualizza
"Yes, delete this price","Sì, elimina questo prezzo"
"Yes, delete those prices","Sì, elimina questi prezzi"
"No, I want to keep those prices","No, voglio mantenere questi prezzi"
"Delete Import","Elimina importazione"
"You will delete %d prices for %d products. Is this what you want?","Eliminerai %d prezzi per %d prodotti. È questo ciò che desideri?"
"You will find below the list errors and successfully processed rows inside your import file.","Di seguito troverai l'elenco degli errori e delle righe elaborate correttamente nel tuo file di importazione."
"Your file does not contain any errors.","Il tuo file non contiene errori."
"Your prices are now available to your custoers based on their start and end date.","I tuoi prezzi sono ora disponibili per i tuoi clienti in base alla data di inizio e di fine."
"Your prices are now available to your customers based on their start and end date.","I tuoi prezzi sono ora disponibili per i tuoi clienti in base alla data di inizio e di fine."
"Your scheduled prices have been published","I tuoi prezzi pianificati sono stati pubblicati"
"Price type","Tipo di prezzo"
"Start from (included)","Inizio da (incluso)"
"Finish at (included)","Fine a (incluso)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","Puoi definire un prezzo per il prodotto che avrà effetto in una data e ora future. Puoi definire più prezzi nello stesso periodo."
"Import via CSV file","Importa tramite file CSV"
"Add scheduled price","Aggiungi prezzo pianificato"
"Scheduled prices inside this import","Prezzi pianificati all'interno di questa importazione"
"View Import","Visualizza importazione"
"Edit Import","Modifica importazione"
"Edit Scheduled Price","Modifica prezzo pianificato"
"Scheduled price information","Informazioni sul prezzo pianificato"
"Scheduled price was successfully removed","Il prezzo pianificato è stato rimosso con successo."
"Choose store","Scegli negozio"
"Choose currency","Scegli valuta"
"Net price or gross price must be filled","Il prezzo netto o il prezzo lordo devono essere compilati"
"Scheduled prices imported","Prezzi programmati importati"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","Il fuso orario utilizzato per il prezzo programmato sarà <b class=""timezone""></b> come definito nel negozio selezionato"
