"Abstract product name","اسم المنتج المجرد"
"Abstract product name:","اسم المنتج المجرد:"
Activate,تفعيل
"Add Product Relations","إضافة علاقات المنتج"
"Assign related products","تعيين المنتجات ذات الصلة"
"Create relation","إنشاء علاقة"
Deactivate,"إلغاء التفعيل"
Edit,تحرير
"Edit Product Relations","تحرير علاقات المنتج"
"Failed to delete relation.","فشل في حذف العلاقة."
"Is active:","هل هو نشط:"
"List Product relations","قائمة علاقات المنتجات"
"Number of products","عدد المنتجات"
"Please select product from the list below","يرجى تحديد المنتج من القائمة أدناه"
"Product relation successfully created","تم إنشاء علاقة المنتج بنجاح"
"Product relation successfully modified","تم تعديل علاقة المنتج بنجاح"
"Product relation with id ""%d"" not found.","لم يتم العثور على علاقة المنتج بالمعرف ""%d""."
"Related products","المنتجات ذات الصلة"
related-products,"المنتجات ذات الصلة"
"Relation successfully activated.","تم تنشيط العلاقة بنجاح."
"Relation successfully deactivated.","تم إلغاء العلاقة بنجاح."
"Relation successfully deleted.","تم حذف العلاقة بنجاح."
"Relation type","نوع العلاقة"
"Relation type:","نوع العلاقة:"
Save,حفظ
Select,اختيار
"Select product","اختيار المنتج"
"Selected product","المنتج المحدد"
"Selected product already has ""%s"" relation type.","المنتج المحدد يحمل بالفعل نوع العلاقة ""%s""."
Sku:,"رمز المنتج:"
up-selling,الترويج
"Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions.","تحديث بانتظام: عند تحديد هذا الخيار، سيتم تحديث علاقة المنتج هذه تلقائيًا بشكل منتظم وفقًا لشروط العلاقة."
"View in Shop","عرض في المتجر"
"View relations","عرض العلاقات"
