"Abstract product name","Nom du produit abstrait"
"Abstract product name:","Nom du produit abstrait :"
Activate,Activer
"Add Product Relations","Ajouter des relations de produits"
"Assign related products","Attribuer des produits associés"
"Create relation","Créer une relation"
Deactivate,Désactiver
Edit,Modifier
"Edit Product Relations","Modifier les relations de produits"
"Failed to delete relation.","Échec de la suppression de la relation."
"Is active:","Est actif :"
"List Product relations","Liste des relations de produits"
"Number of products","Nombre de produits"
"Please select product from the list below","Veuillez sélectionner un produit dans la liste ci-dessous"
"Product relation successfully created","La relation de produit a été créée avec succès"
"Product relation successfully modified","La relation de produit a été modifiée avec succès"
"Product relation with id ""%d"" not found.","La relation de produit avec l'identifiant ""%d"" est introuvable."
"Related products","Produits associés"
related-products,"Produits associés"
"Relation successfully activated.","La relation a été activée avec succès."
"Relation successfully deactivated.","La relation a été désactivée avec succès."
"Relation successfully deleted.","La relation a été supprimée avec succès."
"Relation type","Type de relation"
"Relation type:","Type de relation :"
Save,Enregistrer
Select,Sélectionner
"Select product","Sélectionner un produit"
"Selected product","Produit sélectionné"
"Selected product already has ""%s"" relation type.","Le produit sélectionné a déjà le type de relation ""%s""."
Sku:,"Sku :"
up-selling,"Vente incitative"
"Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions.","Mise à jour régulière : Lorsque vous avez cette option sélectionnée, cette relation de produit sera automatiquement mise à jour régulièrement en fonction des conditions de la relation."
"View in Shop","Voir dans la boutique"
"View relations","Voir les relations"
