"Add a Dataset","Ajouter un jeu de données"
"Add Dataset","Ajouter un jeu de données"
"Back to Dataset list","Retour à la liste des jeux de données"
"Content file","Fichier de contenu"
Dataset,"Jeu de données"
"Dataset was activated successfully.","Le jeu de données a été activé avec succès."
"Dataset was deactivated successfully.","Le jeu de données a été désactivé avec succès."
"Edit Dataset","Modifier le jeu de données"
Save,Enregistrer
"Something wrong","Quelque chose s'est mal passé"
"No file selected.","Aucun fichier sélectionné."
"Datasets list","Liste des jeux de données"
