Actions,الإجراءات
Active,نشط
Approved,"تمت الموافقة عليه"
approved_offer_button,الموافقة
"Offer Approve",الموافقة
Deny,رفض
"Back to Offers","العودة إلى العروض"
denied_offer_button,رفض
Denied,مرفوض
Description,الوصف
Inactive,"غير نشط"
"List of Offers","قائمة العروض"
Name,الاسم
Offer,عرض
"Offer ID","معرف العرض"
Offers,العروض
Product,المنتج
Reference,المرجع
SKU,"رمز المنتج"
Status,الحالة
Stores,المتاجر
"The approval status was updated","تم تحديث حالة الموافقة"
Type,النوع
"View Offer","عرض العرض"
Visibility,الرؤية
"Volume Prices","أسعار الحجم"
Approval,الموافقة
"Approval Status","حالة الموافقة"
"Waiting for Approval","في انتظار الموافقة"
