Actions,Acties
Active,Actief
Approved,Goedgekeurd
approved_offer_button,Goedkeuren
"Offer Approve",Goedkeuren
Deny,Weigeren
"Back to Offers","Terug naar Aanbiedingen"
denied_offer_button,Weigeren
Denied,Geweigerd
Description,Beschrijving
Inactive,Inactief
"List of Offers","Lijst met Aanbiedingen"
Name,Naam
Offer,Aanbieding
"Offer ID",Aanbiedings-ID
Offers,Aanbiedingen
Product,Product
Reference,Referentie
SKU,SKU
Status,Status
Stores,Winkels
"The approval status was updated","De goedkeuringsstatus is bijgewerkt"
Type,Type
"View Offer","Bekijk Aanbieding"
Visibility,Zichtbaarheid
"Volume Prices",Volumeprijzen
Approval,Goedkeuring
"Approval Status",Goedkeuringsstatus
"Waiting for Approval","Wachten op Goedkeuring"
