"Back to Tax Rates","العودة إلى أسعار الضرائب"
"Back to Tax Sets","العودة إلى مجموعات الضرائب"
"Could not delete tax set. Is it assigned to product or shipping method?","تعذر حذف مجموعة الضرائب. هل تم تعيينها للمنتج أو طريقة الشحن؟"
Country,الدولة
"Create Tax Rate","إنشاء معدل ضريبة"
"Create Tax Set","إنشاء مجموعة ضرائب"
"Created at","تم الإنشاء في"
Delete,حذف
"Delete Tax Rate","حذف معدل الضريبة"
"Delete Tax Set","حذف مجموعة الضرائب"
Edit,تعديل
"Edit Tax Rate:","تعديل معدل الضريبة:"
"Edit Tax Set:","تعديل مجموعة الضرائب:"
"List of tax rates","قائمة بمعدلات الضرائب"
"List of tax sets","قائمة بمجموعات الضرائب"
N/A,"غير متوفر"
Name,الاسم
"Overview of Tax Rates","نظرة عامة على معدلات الضرائب"
"Overview of Tax Sets","نظرة عامة على مجموعات الضرائب"
Percentage,"النسبة المئوية"
Save,حفظ
"Select country.","اختر البلد."
"Tax rate %d was created successfully.","تم إنشاء معدل الضريبة %d بنجاح."
"Tax rate %d was deleted successfully.","تم حذف معدل الضريبة %d بنجاح."
"Tax rate %d was updated successfully.","تم تحديث معدل الضريبة %d بنجاح."
"Tax Rate deletion confirmation","تم حذف معدل الضريبة بنجاح."
"Tax rate details","تفاصيل معدل الضريبة"
"Tax rate ID","معرف معدل الضريبة"
"Tax rate with id %s doesn't exist","معدل الضريبة بالمعرف %s غير موجود"
"Tax rate with provided name, percentage and country already exists.","معدل الضريبة بالاسم والنسبة المئوية والبلد المقدمة موجود بالفعل."
"Tax rates","معدلات الضرائب"
"Tax Rates","معدلات الضرائب"
"Tax set %d was created successfully.","تم إنشاء مجموعة الضرائب %d بنجاح."
"Tax set %d was updated successfully.","تم تحديث مجموعة الضرائب %d بنجاح."
"Tax Set deletion confirmation","هل أنت متأكد من حذف مجموعة الضرائب هذه؟"
"Tax set details","تفاصيل مجموعة الضرائب"
"Tax set ID","معرف مجموعة الضرائب"
"Tax set is not created. Please fill-in all required fields.","لم يتم إنشاء مجموعة الضرائب. يرجى ملء جميع الحقول المطلوبة."
"Tax set with id %s doesn't exist","مجموعة الضرائب بالمعرف %s غير موجودة"
"Tax Set with name ""%name%"" already exists.","مجموعة الضرائب بالاسم ""%name%"" موجودة بالفعل."
"Tax Sets","تعيينات الضرائب"
Taxes,الضرائب
"The tax set has been deleted","تم حذف مجموعة الضرائب"
"Updated at","تم التحديث في"
"View Tax Rate:","عرض معدل الضريبة:"
"View Tax Set:","عرض مجموعة الضرائب:"
"You should choose one or more tax rates","يجب عليك اختيار واحد أو أكثر من معدلات الضرائب"
"No country","لا يوجد بلد"
"Edit Tax Rate","تحرير معدل الضريبة"
"Edit Tax Set","تحرير مجموعة الضرائب"
