"Add Company Business Unit","Aggiungi Unità Aziendale"
"Back to Company Business Units","Torna alle Unità Aziendali"
"BU Name","Nome BU"
"BU Parent","BU Genitore"
"Company Business Unit","Unità Aziendale"
"Company Business Unit ""%s"" has been created.","L'Unità Aziendale ""%s"" è stata creata."
"Company Business Unit ""%s"" has been updated.","L'Unità Aziendale ""%s"" è stata aggiornata."
"Company Business Unit ""%s"" has not been created.","L'Unità Aziendale ""%s"" non è stata creata."
"Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy.","L'Unità Aziendale ""%s"" non è stata aggiornata. Un'Unità Aziendale non può essere impostata come figlia di un'altra Unità Aziendale figlia, controlla la gerarchia delle Unità Aziendali."
"Company Business Unit ""%s"" was deleted.","L'Unità Aziendale ""%s"" è stata eliminata."
"Company name","Nome Azienda"
"Company Units","Unità Aziendali"
"Create Company Business Unit","Crea Unità Aziendale"
"Edit Company Business Unit","Modifica Unità Aziendale"
"List of Company Business Units","Elenco delle unità aziendali"
"No parent","Nessun genitore"
"Overview of Company Business Units","Panoramica delle Unità Aziendali"
Parent,Genitore
Save,Salva
"Select one","Seleziona uno"
"You can not delete a business unit ""%s"" while it contains user","Non puoi eliminare un'unità aziendale ""%s"" finché contiene utenti"
Address,Indirizzo
"Business Units","Unità Aziendali"
"Business Unit","Unità Aziendale"
"Business Unit name","Nome dell'Unità Aziendale"
