"Add Company Business Unit","إضافة وحدة عمل للشركة"
"Back to Company Business Units","العودة إلى وحدات عمل الشركة"
"BU Name","اسم الوحدة العمل"
"BU Parent","الوحدة العمل الأصلية"
"Company Business Unit","وحدة عمل للشركة"
"Company Business Unit ""%s"" has been created.","تم إنشاء وحدة العمل للشركة ""%s""."
"Company Business Unit ""%s"" has been updated.","تم تحديث وحدة العمل للشركة ""%s""."
"Company Business Unit ""%s"" has not been created.","لم يتم إنشاء وحدة العمل للشركة ""%s""."
"Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy.","لم يتم تحديث وحدة العمل للشركة ""%s"". لا يمكن تعيين وحدة عمل كابنة لوحدة عمل فرعية لها، يرجى التحقق من تسلسل وحدات العمل."
"Company Business Unit ""%s"" was deleted.","تم حذف وحدة العمل للشركة ""%s""."
"Company name","اسم الشركة"
"Company Units","وحدات الشركة"
"Create Company Business Unit","إنشاء وحدة عمل للشركة"
"Edit Company Business Unit","تعديل وحدة عمل للشركة"
"List of Company Business Units","قائمة بوحدات العمل للشركة"
"No parent","بدون وحدة أم"
"Overview of Company Business Units","نظرة عامة على وحدات عمل الشركة"
Parent,"الوحدة الأم"
Save,حفظ
"Select one","اختر واحدة"
"You can not delete a business unit ""%s"" while it contains user","لا يمكنك حذف وحدة عمل ""%s"" بينما تحتوي على مستخدم"
Address,العنوان
"Business Units","وحدات الأعمال"
"Business Unit","وحدة العمل"
"Business Unit name","اسم وحدة العمل"
