Approve,Approvare
"Change status","Cambiare stato"
"List of product reviews","Elenco delle recensioni dei prodotti"
Nickname,Nickname
"Overview of Product Reviews","Panoramica delle recensioni dei prodotti"
"Product Reviews","Recensioni dei prodotti"
Reject,Rifiutare
Pending,"In sospeso"
Rejected,Rifiutato
"Product Review #%id% deleted successfully.","Recensione del prodotto #%id% eliminata con successo."
Date,Data
"Product name","Nome del prodotto"
Rating,Valutazione
"CSRF token is not valid.","Il token CSRF non è valido."
Guest,Ospite
